Iter 6600, task hyperlinks, loss 0.4346880416075389, acc 0.84700, f1 0.35676, p 0.67347, r 0.24265
Iter 6700, task mwe, loss 1.4041587670644124, acc 0.82654, f1 0.03955, p 0.46000, r 0.02066
Iter 6700, task hyperlinks, loss 0.4347447454929352, acc 0.84615, f1 0.36684, p 0.65409, r 0.25490
Iter 6800, task mwe, loss 1.3999764839808146, acc 0.82639, f1 0.03290, p 0.45238, r 0.01707
Iter 6800, task hyperlinks, loss 0.43113333980242413, acc 0.84742, f1 0.35971, p 0.67568, r 0.24510
Iter 6900, task mwe, loss 1.3929126580556235, acc 0.82700, f1 0.04452, p 0.47273, r 0.02336
Iter 6900, task hyperlinks, loss 0.43245505293210346, acc 0.84911, f1 0.36462, p 0.69178, r 0.24755
Iter 7000, task mwe, loss 1.3872807661692301, acc 0.82700, f1 0.04770, p 0.45902, r 0.02516
Iter 7000, task hyperlinks, loss 0.4325687487920125, acc 0.84742, f1 0.37102, p 0.66456, r 0.25735
Iter 7100, task mwe, loss 1.3823689778645833, acc 0.82730, f1 0.05093, p 0.46154, r 0.02695
Iter 7100, task hyperlinks, loss 0.42972243825594586, acc 0.85165, f1 0.34221, p 0.76271, r 0.22059
Iter 7200, task mwe, loss 1.3776028633117676, acc 0.82715, f1 0.03955, p 0.46000, r 0.02066
Iter 7200, task hyperlinks, loss 0.42827581365903217, acc 0.85038, f1 0.35963, p 0.71533, r 0.24020
Iter 7300, task mwe, loss 1.3700411001841226, acc 0.82776, f1 0.05419, p 0.47059, r 0.02875
Iter 7300, task hyperlinks, loss 0.42889826496442157, acc 0.84531, f1 0.37435, p 0.63905, r 0.26471
Iter 7400, task mwe, loss 1.3647776047388713, acc 0.82791, f1 0.05277, p 0.50000, r 0.02785
Iter 7400, task hyperlinks, loss 0.42624735832214355, acc 0.85038, f1 0.36661, p 0.70629, r 0.24755
Iter 7500, task mwe, loss 1.358392302195231, acc 0.82944, f1 0.08264, p 0.51546, r 0.04492
Iter 7500, task hyperlinks, loss 0.4281470775604248, acc 0.84615, f1 0.37565, p 0.64671, r 0.26471
Iter 7600, task mwe, loss 1.3526349544525147, acc 0.82883, f1 0.08224, p 0.48544, r 0.04492
Iter 7600, task hyperlinks, loss 0.42465407649676007, acc 0.84996, f1 0.36528, p 0.69655, r 0.24755
Iter 7700, task mwe, loss 1.3477574825286864, acc 0.82852, f1 0.06061, p 0.48000, r 0.03235
Iter 7700, task hyperlinks, loss 0.42364392677942914, acc 0.85038, f1 0.34944, p 0.72308, r 0.23039
