Iter 2180, task gpos, loss 1.6938483715057373
Iter 2190, task gpos, loss 1.642093300819397
Iter 2200, task gpos, loss 1.6667592525482178
Iter 2210, task gpos, loss 1.6594069004058838
Iter 2220, task gpos, loss 1.6664354801177979
Iter 2230, task gpos, loss 1.6518465280532837
Iter 2240, task gpos, loss 1.6639831066131592
Iter 2250, task gpos, loss 1.6530014276504517
Iter 2260, task gpos, loss 1.635780930519104
Iter 2270, task gpos, loss 1.610058069229126
Iter 2280, task gpos, loss 1.6175727844238281
Iter 2290, task gpos, loss 1.6800129413604736
Iter 2300, task gpos, loss 1.6354639530181885
Iter 2310, task gpos, loss 1.6323435306549072
Iter 2320, task gpos, loss 1.6036357879638672
Iter 2330, task gpos, loss 1.6315181255340576
Iter 2340, task gpos, loss 1.6335198879241943
Iter 2350, task gpos, loss 1.6249020099639893
Iter 2360, task gpos, loss 1.6236025094985962
Iter 2370, task gpos, loss 1.6517747640609741
Iter 2380, task gpos, loss 1.61334228515625
Iter 2390, task gpos, loss 1.6276795864105225
Iter 2400, task gpos, loss 1.6625909805297852
Iter 2410, task gpos, loss 1.6595760583877563
Iter 2420, task gpos, loss 1.596225380897522
Iter 2430, task gpos, loss 1.6257070302963257
Iter 2440, task gpos, loss 1.5756596326828003
Iter 2450, task gpos, loss 1.592010259628296
Iter 2460, task gpos, loss 1.6307172775268555
Iter 2470, task gpos, loss 1.5867664813995361
Iter 2480, task gpos, loss 1.599269151687622
Iter 2490, task gpos, loss 1.586923599243164
Iter 2500, task gpos, loss 1.5819249153137207
Iter 2510, task gpos, loss 1.6453784704208374
Iter 2520, task gpos, loss 1.6274902820587158
Iter 2530, task gpos, loss 1.5960137844085693
Iter 2540, task gpos, loss 1.5427196025848389
Iter 2550, task gpos, loss 1.6088539361953735
Iter 2560, task gpos, loss 1.5563732385635376
Iter 2570, task gpos, loss 1.569315791130066
Iter 2580, task gpos, loss 1.565179467201233
Iter 2590, task gpos, loss 1.563636302947998
Iter 2600, task gpos, loss 1.5924612283706665
Iter 2610, task gpos, loss 1.5875296592712402
Iter 2620, task gpos, loss 1.5727523565292358
Iter 2630, task gpos, loss 1.5544369220733643
Iter 2640, task gpos, loss 1.5623737573623657
Iter 2650, task gpos, loss 1.5796911716461182
Iter 2660, task gpos, loss 1.5623329877853394
Iter 2670, task gpos, loss 1.6209722757339478
Iter 2680, task gpos, loss 1.5709178447723389
Iter 2690, task gpos, loss 1.569805383682251
Iter 2700, task gpos, loss 1.5231566429138184
Iter 2710, task gpos, loss 1.5463860034942627
Iter 2720, task gpos, loss 1.5642330646514893
Iter 2730, task gpos, loss 1.5350821018218994
Iter 2740, task gpos, loss 1.5895912647247314
Iter 2750, task gpos, loss 1.5802786350250244
Iter 2760, task gpos, loss 1.5536754131317139
Iter 2770, task gpos, loss 1.5258713960647583
Iter 2780, task gpos, loss 1.540145754814148
Iter 2790, task gpos, loss 1.5493676662445068
Iter 2800, task gpos, loss 1.4998183250427246
Iter 2810, task gpos, loss 1.5658323764801025
Iter 2820, task gpos, loss 1.5314826965332031
Iter 2830, task gpos, loss 1.5301812887191772
Iter 2840, task gpos, loss 1.5502468347549438
Iter 2850, task gpos, loss 1.5622611045837402
Iter 2860, task gpos, loss 1.5398904085159302
Iter 2870, task gpos, loss 1.50043523311615
Iter 2880, task gpos, loss 1.5428270101547241
Iter 2890, task gpos, loss 1.5256409645080566
Iter 2900, task gpos, loss 1.5323477983474731
Iter 2910, task gpos, loss 1.5476250648498535
Iter 2920, task gpos, loss 1.509451985359192
Iter 2930, task gpos, loss 1.5369304418563843
Iter 2940, task gpos, loss 1.486622929573059
Iter 2950, task gpos, loss 1.512434720993042
Iter 2960, task gpos, loss 1.478296160697937
Iter 2970, task gpos, loss 1.474374532699585
Iter 2980, task gpos, loss 1.51006281375885
Iter 2990, task gpos, loss 1.5189540386199951
Iter 3000, task gpos, loss 1.4967577457427979
Iter 3010, task gpos, loss 1.5028349161148071
Iter 3020, task gpos, loss 1.5365945100784302
Iter 3030, task gpos, loss 1.4889965057373047
Iter 3040, task gpos, loss 1.4655773639678955
Iter 3050, task gpos, loss 1.4342104196548462
Iter 3060, task gpos, loss 1.517043948173523
Iter 3070, task gpos, loss 1.4249694347381592
Iter 3080, task gpos, loss 1.476241946220398
Iter 3090, task gpos, loss 1.4858332872390747
Iter 3100, task gpos, loss 1.5221103429794312
Iter 3110, task gpos, loss 1.4302821159362793
Iter 3120, task gpos, loss 1.4828294515609741
Iter 3130, task gpos, loss 1.4050800800323486
Iter 3140, task gpos, loss 1.4723963737487793
Iter 3150, task gpos, loss 1.460195779800415
Iter 3160, task gpos, loss 1.4819607734680176
Iter 3170, task gpos, loss 1.4585692882537842
Iter 3180, task gpos, loss 1.472715139389038
Iter 3190, task gpos, loss 1.4687989950180054
Iter 3200, task gpos, loss 1.436816692352295
Iter 3210, task gpos, loss 1.4388967752456665
Iter 3220, task gpos, loss 1.4803889989852905
Iter 3230, task gpos, loss 1.4736486673355103
Iter 3240, task gpos, loss 1.4335973262786865
Iter 3250, task gpos, loss 1.4611902236938477
Iter 3260, task gpos, loss 1.449159860610962
Iter 3270, task gpos, loss 1.458889365196228
Iter 3280, task gpos, loss 1.4491826295852661
Iter 3290, task gpos, loss 1.4406375885009766
Iter 3300, task gpos, loss 1.4621514081954956
Iter 3310, task gpos, loss 1.4185993671417236
Iter 3320, task gpos, loss 1.4706733226776123
Iter 3330, task gpos, loss 1.4658317565917969
Iter 3340, task gpos, loss 1.3722518682479858
Iter 3350, task gpos, loss 1.416066288948059
Iter 3360, task gpos, loss 1.4325746297836304
Iter 3370, task gpos, loss 1.415450930595398
Iter 3380, task gpos, loss 1.3864561319351196
Iter 3390, task gpos, loss 1.395756721496582
Iter 3400, task gpos, loss 1.4426249265670776
Iter 3410, task gpos, loss 1.4543324708938599
Iter 3420, task gpos, loss 1.4546079635620117
Iter 3430, task gpos, loss 1.385740041732788
Iter 3440, task gpos, loss 1.3816512823104858
Iter 3450, task gpos, loss 1.399298906326294
Iter 3460, task gpos, loss 1.3777097463607788
Iter 3470, task gpos, loss 1.4235073328018188
Iter 3480, task gpos, loss 1.3975820541381836
Iter 3490, task gpos, loss 1.4341367483139038
Iter 3500, task gpos, loss 1.3829169273376465
Iter 3510, task gpos, loss 1.4644814729690552
Iter 3520, task gpos, loss 1.4211292266845703
Iter 3530, task gpos, loss 1.3768949508666992
Iter 3540, task gpos, loss 1.4443070888519287
Iter 3550, task gpos, loss 1.4015101194381714
Iter 3560, task gpos, loss 1.388185739517212
Iter 3570, task gpos, loss 1.363773226737976
Iter 3580, task gpos, loss 1.3321404457092285
Iter 3590, task gpos, loss 1.371387243270874
Iter 3600, task gpos, loss 1.4398765563964844
Iter 3610, task gpos, loss 1.374842643737793
Iter 3620, task gpos, loss 1.3740556240081787
Iter 3630, task gpos, loss 1.3625996112823486
Iter 3640, task gpos, loss 1.3641217947006226
Iter 3650, task gpos, loss 1.3689892292022705
Iter 3660, task gpos, loss 1.4182398319244385
Iter 3670, task gpos, loss 1.3507438898086548
Iter 3680, task gpos, loss 1.3633474111557007
Iter 3690, task gpos, loss 1.384209394454956
Iter 3700, task gpos, loss 1.390310525894165
Iter 3710, task gpos, loss 1.381453275680542
Iter 3720, task gpos, loss 1.3748986721038818
Iter 3730, task gpos, loss 1.3443968296051025
Iter 3740, task gpos, loss 1.317266821861267
Iter 3750, task gpos, loss 1.3565069437026978
Iter 3760, task gpos, loss 1.3736318349838257
Iter 3770, task gpos, loss 1.3669698238372803
Iter 3780, task gpos, loss 1.373701810836792
Iter 3790, task gpos, loss 1.3189986944198608
Iter 3800, task gpos, loss 1.391874074935913
Iter 3810, task gpos, loss 1.3507627248764038
