Iter 4300, task fnt, loss 0.5620285637917057, acc 0.76993, f1 0.22093, p 0.57909, r 0.13650
Iter 4300, task hyperlinks, loss 0.5558834870656332, acc 0.84235, f1 0.28175, p 0.73958, r 0.17402
Iter 4400, task fnt, loss 0.5662785614690473, acc 0.76792, f1 0.17076, p 0.58101, r 0.10009
Iter 4400, task hyperlinks, loss 0.5532061060269674, acc 0.84193, f1 0.28402, p 0.72727, r 0.17647
Iter 4500, task fnt, loss 0.5608188288827096, acc 0.76962, f1 0.19873, p 0.58466, r 0.11971
Iter 4500, task hyperlinks, loss 0.5542498032251993, acc 0.84193, f1 0.31698, p 0.68852, r 0.20588
Iter 4600, task fnt, loss 0.5589382581172451, acc 0.76967, f1 0.19844, p 0.58485, r 0.11949
Iter 4600, task hyperlinks, loss 0.555280476808548, acc 0.84066, f1 0.33272, p 0.65468, r 0.22304
Iter 4700, task fnt, loss 0.5569209341079958, acc 0.76931, f1 0.19732, p 0.58102, r 0.11884
Iter 4700, task hyperlinks, loss 0.5488181014855703, acc 0.84277, f1 0.30710, p 0.70796, r 0.19608
Iter 4800, task fnt, loss 0.5471716340511076, acc 0.77549, f1 0.27325, p 0.60074, r 0.17684
Iter 4800, task hyperlinks, loss 0.5467893779277802, acc 0.84404, f1 0.28968, p 0.76042, r 0.17892
Iter 4900, task fnt, loss 0.5470928857403417, acc 0.77312, f1 0.24724, p 0.59370, r 0.15613
Iter 4900, task hyperlinks, loss 0.5451679031054179, acc 0.84150, f1 0.28627, p 0.71569, r 0.17892
Iter 5000, task fnt, loss 0.5426745039801444, acc 0.77523, f1 0.27101, p 0.59925, r 0.17510
Iter 5000, task hyperlinks, loss 0.5461993416150411, acc 0.84446, f1 0.32453, p 0.70492, r 0.21078
Iter 5100, task fnt, loss 0.5402079782178325, acc 0.77580, f1 0.27825, p 0.59913, r 0.18120
Iter 5100, task hyperlinks, loss 0.5429512759049734, acc 0.84573, f1 0.30409, p 0.74286, r 0.19118
Iter 5200, task fnt, loss 0.5358910329880253, acc 0.77570, f1 0.29904, p 0.58711, r 0.20061
Iter 5200, task hyperlinks, loss 0.541962335507075, acc 0.84573, f1 0.30409, p 0.74286, r 0.19118
Iter 5300, task fnt, loss 0.5356047970633353, acc 0.77600, f1 0.27863, p 0.60029, r 0.18142
Iter 5300, task hyperlinks, loss 0.5405052304267883, acc 0.84615, f1 0.31214, p 0.72973, r 0.19853
Iter 5400, task fnt, loss 0.53141834082142, acc 0.77564, f1 0.29730, p 0.58676, r 0.19908
Iter 5400, task hyperlinks, loss 0.5395745933055878, acc 0.84658, f1 0.31154, p 0.72321, r 0.19853
Iter 5500, task fnt, loss 0.5299131860656123, acc 0.77580, f1 0.29721, p 0.58801, r 0.19887
Iter 5500, task hyperlinks, loss 0.5392253200213114, acc 0.84827, f1 0.33459, p 0.71774, r 0.21814
Iter 5600, task fnt, loss 0.5281811471908323, acc 0.77595, f1 0.29836, p 0.58744, r 0.19996
Iter 5600, task hyperlinks, loss 0.5380914509296417, acc 0.84784, f1 0.34137, p 0.70229, r 0.22549
