Iter 2520, task com, loss 0.5623723864555359
Iter 2530, task com, loss 0.5504153966903687
Iter 2540, task com, loss 0.5507326722145081
Iter 2550, task com, loss 0.5537598729133606
Iter 2560, task com, loss 0.5501807928085327
Iter 2570, task com, loss 0.5603861808776855
Iter 2580, task com, loss 0.5282395482063293
Iter 2590, task com, loss 0.5584009885787964
Iter 2600, task com, loss 0.5435475707054138
Iter 2610, task com, loss 0.5513596534729004
Iter 2620, task com, loss 0.543282151222229
Iter 2630, task com, loss 0.5582793951034546
Iter 2640, task com, loss 0.5509222149848938
Iter 2650, task com, loss 0.5467343926429749
Iter 2660, task com, loss 0.538138210773468
Iter 2670, task com, loss 0.5407779812812805
Iter 2680, task com, loss 0.5432447195053101
Iter 2690, task com, loss 0.5368446111679077
Iter 2700, task com, loss 0.5441113710403442
Iter 2710, task com, loss 0.5552199482917786
Iter 2720, task com, loss 0.5430461764335632
Iter 2730, task com, loss 0.5635672807693481
Iter 2740, task com, loss 0.5450782775878906
Iter 2750, task com, loss 0.5486706495285034
Iter 2760, task com, loss 0.5591691732406616
Iter 2770, task com, loss 0.5392853021621704
Iter 2780, task com, loss 0.5568250417709351
Iter 2790, task com, loss 0.5647490620613098
Iter 2800, task com, loss 0.5357252359390259
Iter 2810, task com, loss 0.5564794540405273
Iter 2820, task com, loss 0.5422825813293457
Iter 2830, task com, loss 0.539700984954834
Iter 2840, task com, loss 0.5499714612960815
Iter 2850, task com, loss 0.5494157075881958
Iter 2860, task com, loss 0.5398820638656616
Iter 2870, task com, loss 0.5361206531524658
Iter 2880, task com, loss 0.5293185114860535
Iter 2890, task com, loss 0.5397952795028687
Iter 2900, task com, loss 0.5335487723350525
Iter 2910, task com, loss 0.5373177528381348
Iter 2920, task com, loss 0.5472714304924011
Iter 2930, task com, loss 0.5390329360961914
Iter 2940, task com, loss 0.5344916582107544
Iter 2950, task com, loss 0.5315987467765808
Iter 2960, task com, loss 0.5496357679367065
Iter 2970, task com, loss 0.5275082588195801
Iter 2980, task com, loss 0.5672113299369812
Iter 2990, task com, loss 0.5460391640663147
Iter 3000, task com, loss 0.5393985509872437
Iter 3010, task com, loss 0.5504382252693176
Iter 3020, task com, loss 0.5468713641166687
Iter 3030, task com, loss 0.5455973744392395
Iter 3040, task com, loss 0.530868411064148
Iter 3050, task com, loss 0.5382713079452515
Iter 3060, task com, loss 0.5313017964363098
Iter 3070, task com, loss 0.5326628684997559
Iter 3080, task com, loss 0.5343124270439148
Iter 3090, task com, loss 0.5209991931915283
Iter 3100, task com, loss 0.5154555439949036
Iter 3110, task com, loss 0.5485358238220215
Iter 3120, task com, loss 0.5469300150871277
Iter 3130, task com, loss 0.5095759630203247
Iter 3140, task com, loss 0.5236908793449402
Iter 3150, task com, loss 0.5250232815742493
Iter 3160, task com, loss 0.5366315841674805
Iter 3170, task com, loss 0.5496278405189514
Iter 3180, task com, loss 0.5240982174873352
Iter 3190, task com, loss 0.5226649045944214
Iter 3200, task com, loss 0.5142531394958496
Iter 3210, task com, loss 0.5264790058135986
Iter 3220, task com, loss 0.5444218516349792
Iter 3230, task com, loss 0.5455180406570435
Iter 3240, task com, loss 0.5127050280570984
Iter 3250, task com, loss 0.5240318179130554
Iter 3260, task com, loss 0.5186463594436646
Iter 3270, task com, loss 0.5198601484298706
Iter 3280, task com, loss 0.5348787307739258
Iter 3290, task com, loss 0.542824923992157
Iter 3300, task com, loss 0.5283166170120239
Iter 3310, task com, loss 0.5360757112503052
Iter 3320, task com, loss 0.5213181376457214
Iter 3330, task com, loss 0.5290099382400513
Iter 3340, task com, loss 0.5377725958824158
Iter 3350, task com, loss 0.5073621273040771
