Iter 15800, task com, loss 0.34137412408987683, acc 0.84465, f1 0.41556, p 0.65707, r 0.30387
Iter 15900, task com, loss 0.34072188039620716, acc 0.84509, f1 0.42105, p 0.65641, r 0.30993
Iter 16000, task com, loss 0.33970510959625244, acc 0.84553, f1 0.41304, p 0.66757, r 0.29903
Iter 16100, task com, loss 0.33921655515829724, acc 0.84597, f1 0.41472, p 0.67027, r 0.30024
Iter 16200, task com, loss 0.3388702670733134, acc 0.84597, f1 0.41957, p 0.66579, r 0.30630
Iter 16300, task com, loss 0.33802205820878345, acc 0.84663, f1 0.41771, p 0.67385, r 0.30266
Iter 16400, task com, loss 0.3374142050743103, acc 0.84597, f1 0.41957, p 0.66579, r 0.30630
Iter 16500, task com, loss 0.33699703216552734, acc 0.84509, f1 0.41914, p 0.65803, r 0.30751
Iter 16600, task com, loss 0.3363686551650365, acc 0.84553, f1 0.42270, p 0.65897, r 0.31114
Iter 16700, task com, loss 0.3355259398619334, acc 0.84575, f1 0.41729, p 0.66578, r 0.30387
Iter 16800, task com, loss 0.33482376237710315, acc 0.84597, f1 0.41957, p 0.66579, r 0.30630
Iter 16900, task com, loss 0.334350049495697, acc 0.84751, f1 0.41911, p 0.68120, r 0.30266
Iter 17000, task com, loss 0.33375923832257587, acc 0.84685, f1 0.42097, p 0.67287, r 0.30630
Iter 17100, task com, loss 0.3332829525073369, acc 0.84685, f1 0.41315, p 0.68056, r 0.29661
Iter 17200, task com, loss 0.3333505739768346, acc 0.84531, f1 0.42612, p 0.65414, r 0.31598
Iter 17300, task com, loss 0.33237505455811817, acc 0.84773, f1 0.43092, p 0.67179, r 0.31719
Iter 17400, task com, loss 0.33161015311876935, acc 0.84751, f1 0.40515, p 0.69617, r 0.28571
Iter 17500, task com, loss 0.33117109537124634, acc 0.84729, f1 0.43021, p 0.66837, r 0.31719
Iter 17600, task com, loss 0.33019018669923145, acc 0.84663, f1 0.41281, p 0.67867, r 0.29661
Iter 17700, task com, loss 0.3295477132002513, acc 0.84795, f1 0.42272, p 0.68194, r 0.30630
Iter 17800, task com, loss 0.32920873661835987, acc 0.84860, f1 0.43140, p 0.67969, r 0.31598
Iter 17900, task com, loss 0.32892532646656036, acc 0.84707, f1 0.43079, p 0.66582, r 0.31840
Iter 18000, task com, loss 0.32839738329251605, acc 0.84817, f1 0.43034, p 0.67442, r 0.31598
Iter 18100, task com, loss 0.32869309186935425, acc 0.84729, f1 0.43942, p 0.66019, r 0.32930
Iter 18200, task com, loss 0.3280954758326213, acc 0.84729, f1 0.44122, p 0.65865, r 0.33172
Iter 18300, task com, loss 0.3265128930409749, acc 0.84948, f1 0.42424, p 0.69613, r 0.30508
Iter 18400, task com, loss 0.32607418795426685, acc 0.84926, f1 0.42353, p 0.69231, r 0.30508
Iter 18500, task com, loss 0.3257179359594981, acc 0.85036, f1 0.43392, p 0.69231, r 0.31598
Iter 18600, task com, loss 0.3252144356568654, acc 0.84882, f1 0.43364, p 0.67959, r 0.31840
Iter 18700, task com, loss 0.3245445837577184, acc 0.84882, f1 0.42571, p 0.68548, r 0.30872
Iter 18800, task com, loss 0.3245228628317515, acc 0.84751, f1 0.43429, p 0.66667, r 0.32203
Iter 18900, task com, loss 0.3237973799308141, acc 0.84992, f1 0.42881, p 0.69565, r 0.30993
Iter 19000, task com, loss 0.3233555257320404, acc 0.84817, f1 0.42751, p 0.67717, r 0.31235
Iter 19100, task com, loss 0.3229602624972661, acc 0.84904, f1 0.42893, p 0.68435, r 0.31235
Iter 19200, task com, loss 0.32283955812454224, acc 0.84926, f1 0.43863, p 0.67677, r 0.32446
Iter 19300, task com, loss 0.32241714000701904, acc 0.84970, f1 0.42230, p 0.69832, r 0.30266
Iter 19400, task com, loss 0.32217080891132355, acc 0.84904, f1 0.44318, p 0.67241, r 0.33051
Iter 19500, task com, loss 0.32164037724335987, acc 0.85036, f1 0.42725, p 0.69972, r 0.30751
Iter 19600, task com, loss 0.3208057036002477, acc 0.84970, f1 0.43377, p 0.68586, r 0.31719
Iter 19700, task com, loss 0.32110461592674255, acc 0.84904, f1 0.45346, p 0.66125, r 0.34504
Iter 19800, task com, loss 0.31985751787821454, acc 0.85014, f1 0.43449, p 0.68947, r 0.31719
Iter 19900, task com, loss 0.31936420500278473, acc 0.85080, f1 0.43085, p 0.70027, r 0.31114
Iter 20000, task com, loss 0.3191244552532832, acc 0.84992, f1 0.42941, p 0.69272, r 0.31114
Iter 20100, task com, loss 0.3189338495333989, acc 0.84992, f1 0.44062, p 0.68101, r 0.32567
Iter 20200, task com, loss 0.3187415997187297, acc 0.84926, f1 0.43990, p 0.67758, r 0.32567
Iter 20300, task com, loss 0.3181905696789424, acc 0.84992, f1 0.43449, p 0.68947, r 0.31719
Iter 20400, task com, loss 0.3177185704310735, acc 0.85146, f1 0.44261, p 0.69610, r 0.32446
Iter 20500, task com, loss 0.31708070635795593, acc 0.85058, f1 0.43464, p 0.69600, r 0.31598
Iter 20600, task com, loss 0.3170337378978729, acc 0.85080, f1 0.44878, p 0.68317, r 0.33414
Iter 20700, task com, loss 0.3163609703381856, acc 0.85102, f1 0.43724, p 0.69761, r 0.31840
Iter 20800, task com, loss 0.31622182826201123, acc 0.85080, f1 0.44608, p 0.68593, r 0.33051
Iter 20900, task com, loss 0.3161402990420659, acc 0.85146, f1 0.44988, p 0.68828, r 0.33414
Iter 21000, task com, loss 0.31529591977596283, acc 0.85080, f1 0.43781, p 0.69474, r 0.31961
Iter 21100, task com, loss 0.31525329252084094, acc 0.85080, f1 0.43688, p 0.69577, r 0.31840
Iter 21200, task com, loss 0.31512977182865143, acc 0.84970, f1 0.44607, p 0.67568, r 0.33293
Iter 21300, task com, loss 0.31434662143389386, acc 0.85036, f1 0.43108, p 0.69542, r 0.31235
