Iter 1760, task keysem17, loss 0.5798745155334473
Iter 1770, task keysem17, loss 0.5908050537109375
Iter 1780, task keysem17, loss 0.5832082033157349
Iter 1790, task keysem17, loss 0.5878241062164307
Iter 1800, task keysem17, loss 0.599423885345459
Iter 1810, task keysem17, loss 0.572198748588562
Iter 1820, task keysem17, loss 0.5780848264694214
Iter 1830, task keysem17, loss 0.5680646896362305
Iter 1840, task keysem17, loss 0.5844129920005798
Iter 1850, task keysem17, loss 0.5935693979263306
Iter 1860, task keysem17, loss 0.5968126058578491
Iter 1870, task keysem17, loss 0.5632597208023071
Iter 1880, task keysem17, loss 0.555578887462616
Iter 1890, task keysem17, loss 0.579157829284668
Iter 1900, task keysem17, loss 0.5860539078712463
Iter 1910, task keysem17, loss 0.5615183115005493
Iter 1920, task keysem17, loss 0.5738371014595032
Iter 1930, task keysem17, loss 0.5657995343208313
Iter 1940, task keysem17, loss 0.5650460720062256
Iter 1950, task keysem17, loss 0.576911985874176
Iter 1960, task keysem17, loss 0.5778235197067261
Iter 1970, task keysem17, loss 0.5849366188049316
Iter 1980, task keysem17, loss 0.5486143827438354
Iter 1990, task keysem17, loss 0.5722934007644653
Iter 2000, task keysem17, loss 0.5479676723480225
Iter 2010, task keysem17, loss 0.5608344078063965
Iter 2020, task keysem17, loss 0.5740306973457336
Iter 2030, task keysem17, loss 0.5741957426071167
Iter 2040, task keysem17, loss 0.5703405737876892
Iter 2050, task keysem17, loss 0.5514434576034546
Iter 2060, task keysem17, loss 0.5419732332229614
Iter 2070, task keysem17, loss 0.5556390285491943
Iter 2080, task keysem17, loss 0.5626031160354614
Iter 2090, task keysem17, loss 0.5366611480712891
Iter 2100, task keysem17, loss 0.5809494853019714
Iter 2110, task keysem17, loss 0.5601480603218079
Iter 2120, task keysem17, loss 0.5512074828147888
Iter 2130, task keysem17, loss 0.5278445482254028
Iter 2140, task keysem17, loss 0.5400750637054443
Iter 2150, task keysem17, loss 0.535422682762146
Iter 2160, task keysem17, loss 0.5555474162101746
Iter 2170, task keysem17, loss 0.5603196620941162
Iter 2180, task keysem17, loss 0.5572846531867981
Iter 2190, task keysem17, loss 0.5563962459564209
Iter 2200, task keysem17, loss 0.5625905394554138
Iter 2210, task keysem17, loss 0.5447623133659363
Iter 2220, task keysem17, loss 0.5404694676399231
Iter 2230, task keysem17, loss 0.5472255945205688
Iter 2240, task keysem17, loss 0.5864578485488892
Iter 2250, task keysem17, loss 0.5536249279975891
Iter 2260, task keysem17, loss 0.5666317343711853
Iter 2270, task keysem17, loss 0.5698261857032776
Iter 2280, task keysem17, loss 0.5411710143089294
Iter 2290, task keysem17, loss 0.5738828182220459
Iter 2300, task keysem17, loss 0.5514504313468933
Iter 2310, task keysem17, loss 0.5664881467819214
Iter 2320, task keysem17, loss 0.5596774220466614
Iter 2330, task keysem17, loss 0.566936194896698
Iter 2340, task keysem17, loss 0.5264173746109009
Iter 2350, task keysem17, loss 0.5641445517539978
Iter 2360, task keysem17, loss 0.5650297999382019
Iter 2370, task keysem17, loss 0.5526471734046936
Iter 2380, task keysem17, loss 0.5581874251365662
Iter 2390, task keysem17, loss 0.5547717213630676
Iter 2400, task keysem17, loss 0.5544675588607788
Iter 2410, task keysem17, loss 0.5444773435592651
Iter 2420, task keysem17, loss 0.5567793250083923
Iter 2430, task keysem17, loss 0.5413759350776672
Iter 2440, task keysem17, loss 0.5688866972923279
Iter 2450, task keysem17, loss 0.5511034727096558
Iter 2460, task keysem17, loss 0.5406217575073242
Iter 2470, task keysem17, loss 0.5415239334106445
Iter 2480, task keysem17, loss 0.5450790524482727
Iter 2490, task keysem17, loss 0.5619346499443054
Iter 2500, task keysem17, loss 0.5437896847724915
Iter 2510, task keysem17, loss 0.554205060005188
Iter 2520, task keysem17, loss 0.5349409580230713
Iter 2530, task keysem17, loss 0.5354675650596619
Iter 2540, task keysem17, loss 0.5351461172103882
Iter 2550, task keysem17, loss 0.5502961277961731
Iter 2560, task keysem17, loss 0.532321572303772
Iter 2570, task keysem17, loss 0.5357447266578674
Iter 2580, task keysem17, loss 0.5491140484809875
Iter 2590, task keysem17, loss 0.5332884192466736
Iter 2600, task keysem17, loss 0.5484808683395386
Iter 2610, task keysem17, loss 0.5369774699211121
Iter 2620, task keysem17, loss 0.5377072691917419
Iter 2630, task keysem17, loss 0.5355077385902405
Iter 2640, task keysem17, loss 0.5299390554428101
Iter 2650, task keysem17, loss 0.5546874403953552
Iter 2660, task keysem17, loss 0.5465821027755737
Iter 2670, task keysem17, loss 0.5399033427238464
Iter 2680, task keysem17, loss 0.5554736852645874
Iter 2690, task keysem17, loss 0.5640093684196472
Iter 2700, task keysem17, loss 0.5333101749420166
Iter 2710, task keysem17, loss 0.5475322008132935
Iter 2720, task keysem17, loss 0.5357292294502258
Iter 2730, task keysem17, loss 0.5460832715034485
Iter 2740, task keysem17, loss 0.5547930002212524
Iter 2750, task keysem17, loss 0.5383787155151367
Iter 2760, task keysem17, loss 0.5469740629196167
Iter 2770, task keysem17, loss 0.5532970428466797
Iter 2780, task keysem17, loss 0.5453213453292847
Iter 2790, task keysem17, loss 0.5416080355644226
Iter 2800, task keysem17, loss 0.5250137448310852
Iter 2810, task keysem17, loss 0.5378040075302124
Iter 2820, task keysem17, loss 0.5432950854301453
Iter 2830, task keysem17, loss 0.5420640110969543
Iter 2840, task keysem17, loss 0.5215787291526794
Iter 2850, task keysem17, loss 0.535586953163147
Iter 2860, task keysem17, loss 0.5610228776931763
Iter 2870, task keysem17, loss 0.5456264615058899
Iter 2880, task keysem17, loss 0.5288461446762085
Iter 2890, task keysem17, loss 0.5277559161186218
Iter 2900, task keysem17, loss 0.5418182611465454
Iter 2910, task keysem17, loss 0.5247374773025513
Iter 2920, task keysem17, loss 0.5096076726913452
Iter 2930, task keysem17, loss 0.5045520067214966
Iter 2940, task keysem17, loss 0.5216265320777893
Iter 2950, task keysem17, loss 0.5329729318618774
Iter 2960, task keysem17, loss 0.5495902299880981
Iter 2970, task keysem17, loss 0.5218513607978821
Iter 2980, task keysem17, loss 0.519576370716095
Iter 2990, task keysem17, loss 0.5396791696548462
Iter 3000, task keysem17, loss 0.528824508190155
Iter 3010, task keysem17, loss 0.5463916063308716
Iter 3020, task keysem17, loss 0.5189705491065979
Iter 3030, task keysem17, loss 0.524776816368103
Iter 3040, task keysem17, loss 0.5154170393943787
Iter 3050, task keysem17, loss 0.5122153162956238
Iter 3060, task keysem17, loss 0.5203534364700317
Iter 3070, task keysem17, loss 0.5345415472984314
Iter 3080, task keysem17, loss 0.5152754187583923
Iter 3090, task keysem17, loss 0.5352570414543152
Iter 3100, task keysem17, loss 0.5107890367507935
Iter 3110, task keysem17, loss 0.5048881769180298
Iter 3120, task keysem17, loss 0.5048896670341492
Iter 3130, task keysem17, loss 0.5352100133895874
Iter 3140, task keysem17, loss 0.5245410799980164
Iter 3150, task keysem17, loss 0.4940747320652008
Iter 3160, task keysem17, loss 0.4996645450592041
Iter 3170, task keysem17, loss 0.5259010195732117
Iter 3180, task keysem17, loss 0.5219675898551941
Iter 3190, task keysem17, loss 0.49522656202316284
Iter 3200, task keysem17, loss 0.5094619989395142
Iter 3210, task keysem17, loss 0.5376034379005432
Iter 3220, task keysem17, loss 0.4958702623844147
Iter 3230, task keysem17, loss 0.5316178202629089
Iter 3240, task keysem17, loss 0.504604160785675
Iter 3250, task keysem17, loss 0.520466685295105
Iter 3260, task keysem17, loss 0.532410740852356
Iter 3270, task keysem17, loss 0.5075453519821167
Iter 3280, task keysem17, loss 0.5136391520500183
Iter 3290, task keysem17, loss 0.5296317934989929
Iter 3300, task keysem17, loss 0.48396405577659607
Iter 3310, task keysem17, loss 0.5207046270370483
Iter 3320, task keysem17, loss 0.4912448823451996
Iter 3330, task keysem17, loss 0.49943894147872925
Iter 3340, task keysem17, loss 0.5187937617301941
Iter 3350, task keysem17, loss 0.5320830345153809
Iter 3360, task keysem17, loss 0.5110933184623718
Iter 3370, task keysem17, loss 0.5244168043136597
Iter 3380, task keysem17, loss 0.4968247413635254
Iter 3390, task keysem17, loss 0.509050190448761
Iter 3400, task keysem17, loss 0.5245039463043213
Iter 3410, task keysem17, loss 0.49663621187210083
Iter 3420, task keysem17, loss 0.5256060361862183
Iter 3430, task keysem17, loss 0.49997028708457947
Iter 3440, task keysem17, loss 0.4979029595851898
Iter 3450, task keysem17, loss 0.5192240476608276
Iter 3460, task keysem17, loss 0.48863816261291504
Iter 3470, task keysem17, loss 0.510376513004303
Iter 3480, task keysem17, loss 0.5013640522956848
Iter 3490, task keysem17, loss 0.5121616125106812
Iter 3500, task keysem17, loss 0.5089485049247742
Iter 3510, task keysem17, loss 0.5082864165306091
Iter 3520, task keysem17, loss 0.5031914710998535
Iter 3530, task keysem17, loss 0.48471441864967346
Iter 3540, task keysem17, loss 0.4955235421657562
Iter 3550, task keysem17, loss 0.49403172731399536
Iter 3560, task keysem17, loss 0.5047329664230347
Iter 3570, task keysem17, loss 0.49742060899734497
Iter 3580, task keysem17, loss 0.49343371391296387
Iter 3590, task keysem17, loss 0.49788230657577515
Iter 3600, task keysem17, loss 0.5114900469779968
Iter 3610, task keysem17, loss 0.504091739654541
Iter 3620, task keysem17, loss 0.47612565755844116
Iter 3630, task keysem17, loss 0.49006372690200806
Iter 3640, task keysem17, loss 0.4938388466835022
Iter 3650, task keysem17, loss 0.5180152654647827
Iter 3660, task keysem17, loss 0.5055350065231323
Iter 3670, task keysem17, loss 0.5028992295265198
Iter 3680, task keysem17, loss 0.5009753108024597
Iter 3690, task keysem17, loss 0.49359703063964844
Iter 3700, task keysem17, loss 0.485238254070282
Iter 3710, task keysem17, loss 0.4853004813194275
Iter 3720, task keysem17, loss 0.5000200867652893
Iter 3730, task keysem17, loss 0.5077544450759888
Iter 3740, task keysem17, loss 0.4867876172065735
Iter 3750, task keysem17, loss 0.4931820034980774
Iter 3760, task keysem17, loss 0.5013283491134644
Iter 3770, task keysem17, loss 0.507907509803772
Iter 3780, task keysem17, loss 0.4851227402687073
Iter 3790, task keysem17, loss 0.5045562982559204
Iter 3800, task keysem17, loss 0.47362416982650757
Iter 3810, task keysem17, loss 0.49169573187828064
Iter 3820, task keysem17, loss 0.4825212359428406
Iter 3830, task keysem17, loss 0.4972075819969177
Iter 3840, task keysem17, loss 0.503158450126648
Iter 3850, task keysem17, loss 0.5025550127029419
Iter 3860, task keysem17, loss 0.49459394812583923
Iter 3870, task keysem17, loss 0.49203357100486755
Iter 3880, task keysem17, loss 0.4846065640449524
Iter 3890, task keysem17, loss 0.4777063727378845
Iter 3900, task keysem17, loss 0.4863862097263336
Iter 3910, task keysem17, loss 0.49235111474990845
Iter 3920, task keysem17, loss 0.5101083517074585
Iter 3930, task keysem17, loss 0.47706931829452515
Iter 3940, task keysem17, loss 0.49134382605552673
Iter 3950, task keysem17, loss 0.48990583419799805
Iter 3960, task keysem17, loss 0.49469631910324097
Iter 3970, task keysem17, loss 0.4885043501853943
Iter 3980, task keysem17, loss 0.4982167184352875
Iter 3990, task keysem17, loss 0.4901827275753021
Iter 4000, task keysem17, loss 0.4790495038032532
Iter 4010, task keysem17, loss 0.4764404296875
Iter 4020, task keysem17, loss 0.46399936079978943
Iter 4030, task keysem17, loss 0.4831485152244568
Iter 4040, task keysem17, loss 0.4742264151573181
Iter 4050, task keysem17, loss 0.4774470329284668
Iter 4060, task keysem17, loss 0.470747709274292
Iter 4070, task keysem17, loss 0.5078439712524414
Iter 4080, task keysem17, loss 0.4738771915435791
Iter 4090, task keysem17, loss 0.4782542586326599
Iter 4100, task keysem17, loss 0.46803006529808044
Iter 4110, task keysem17, loss 0.4834105968475342
Iter 4120, task keysem17, loss 0.4821397364139557
Iter 4130, task keysem17, loss 0.463631808757782
Iter 4140, task keysem17, loss 0.47962889075279236
Iter 4150, task keysem17, loss 0.4653955101966858
Iter 4160, task keysem17, loss 0.4778417646884918
Iter 4170, task keysem17, loss 0.5021031498908997
Iter 4180, task keysem17, loss 0.4528252184391022
Iter 4190, task keysem17, loss 0.46319645643234253
Iter 4200, task keysem17, loss 0.4654088616371155
Iter 4210, task keysem17, loss 0.4663565158843994
Iter 4220, task keysem17, loss 0.4780901074409485
Iter 4230, task keysem17, loss 0.47187119722366333
Iter 4240, task keysem17, loss 0.4649032652378082
Iter 4250, task keysem17, loss 0.46239715814590454
Iter 4260, task keysem17, loss 0.49240440130233765
Iter 4270, task keysem17, loss 0.4558163583278656
Iter 4280, task keysem17, loss 0.4769452214241028
Iter 4290, task keysem17, loss 0.4752129912376404
Iter 4300, task keysem17, loss 0.4476621150970459
Iter 4310, task keysem17, loss 0.47606101632118225
Iter 4320, task keysem17, loss 0.46633511781692505
Iter 4330, task keysem17, loss 0.4777304232120514
Iter 4340, task keysem17, loss 0.4822869896888733
Iter 4350, task keysem17, loss 0.4647025167942047
Iter 4360, task keysem17, loss 0.46340394020080566
Iter 4370, task keysem17, loss 0.48071128129959106
Iter 4380, task keysem17, loss 0.4638638496398926
Iter 4390, task keysem17, loss 0.45904240012168884
Iter 4400, task keysem17, loss 0.4701186716556549
Iter 4410, task keysem17, loss 0.4683453440666199
Iter 4420, task keysem17, loss 0.4611217975616455
Iter 4430, task keysem17, loss 0.437492698431015
Iter 4440, task keysem17, loss 0.4681337773799896
Iter 4450, task keysem17, loss 0.48138079047203064
Iter 4460, task keysem17, loss 0.4677363336086273
Iter 4470, task keysem17, loss 0.46651339530944824
Iter 4480, task keysem17, loss 0.47192874550819397
Iter 4490, task keysem17, loss 0.44914159178733826
Iter 4500, task keysem17, loss 0.47915372252464294
Iter 4510, task keysem17, loss 0.461323082447052
Iter 4520, task keysem17, loss 0.452385812997818
Iter 4530, task keysem17, loss 0.4569886326789856
Iter 4540, task keysem17, loss 0.45839008688926697
Iter 4550, task keysem17, loss 0.46316948533058167
Iter 4560, task keysem17, loss 0.4549345076084137
Iter 4570, task keysem17, loss 0.4584660530090332
Iter 4580, task keysem17, loss 0.4631430208683014
Iter 4590, task keysem17, loss 0.4663780629634857
Iter 4600, task keysem17, loss 0.46930772066116333
Iter 4610, task keysem17, loss 0.45251694321632385
Iter 4620, task keysem17, loss 0.46749329566955566
Iter 4630, task keysem17, loss 0.45145726203918457
Iter 4640, task keysem17, loss 0.4724481999874115
Iter 4650, task keysem17, loss 0.4596174359321594
Iter 4660, task keysem17, loss 0.4576646387577057
Iter 4670, task keysem17, loss 0.45935797691345215
Iter 4680, task keysem17, loss 0.44377589225769043
Iter 4690, task keysem17, loss 0.46188631653785706
Iter 4700, task keysem17, loss 0.4655574858188629
Iter 4710, task keysem17, loss 0.477527916431427
Iter 4720, task keysem17, loss 0.4454447329044342
Iter 4730, task keysem17, loss 0.471762090921402
Iter 4740, task keysem17, loss 0.48048895597457886
Iter 4750, task keysem17, loss 0.46069592237472534
Iter 4760, task keysem17, loss 0.46080225706100464
Iter 4770, task keysem17, loss 0.45624589920043945
Iter 4780, task keysem17, loss 0.44643980264663696
Iter 4790, task keysem17, loss 0.45785218477249146
Iter 4800, task keysem17, loss 0.4396359324455261
Iter 4810, task keysem17, loss 0.45822787284851074
Iter 4820, task keysem17, loss 0.44051820039749146
Iter 4830, task keysem17, loss 0.4763067364692688
Iter 4840, task keysem17, loss 0.4569830894470215
Iter 4850, task keysem17, loss 0.47311314940452576
Iter 4860, task keysem17, loss 0.46041935682296753
Iter 4870, task keysem17, loss 0.4609951376914978
Iter 4880, task keysem17, loss 0.4473249018192291
Iter 4890, task keysem17, loss 0.4466744363307953
Iter 4900, task keysem17, loss 0.45326751470565796
Iter 4910, task keysem17, loss 0.45759129524230957
Iter 4920, task keysem17, loss 0.44252532720565796
Iter 4930, task keysem17, loss 0.463176429271698
Iter 4940, task keysem17, loss 0.42885661125183105
Iter 4950, task keysem17, loss 0.4536129832267761
Iter 4960, task keysem17, loss 0.45039257407188416
Iter 4970, task keysem17, loss 0.4527425169944763
Iter 4980, task keysem17, loss 0.44659772515296936
Iter 4990, task keysem17, loss 0.44940075278282166
Iter 5000, task keysem17, loss 0.440873384475708
Iter 5010, task keysem17, loss 0.4598873555660248
Iter 5020, task keysem17, loss 0.4551319479942322
Iter 5030, task keysem17, loss 0.4507382810115814
Iter 5040, task keysem17, loss 0.45407000184059143
Iter 5050, task keysem17, loss 0.4530351758003235
Iter 5060, task keysem17, loss 0.4508509635925293
Iter 5070, task keysem17, loss 0.4327240586280823
Iter 5080, task keysem17, loss 0.4495188295841217
Iter 5090, task keysem17, loss 0.44653892517089844
Iter 5100, task keysem17, loss 0.45115241408348083
Iter 5110, task keysem17, loss 0.4548098146915436
Iter 5120, task keysem17, loss 0.44082361459732056
Iter 5130, task keysem17, loss 0.43871840834617615
Iter 5140, task keysem17, loss 0.44498172402381897
Iter 5150, task keysem17, loss 0.4376732409000397
