Iter 9100, task keysem17, loss 0.38248888154824573, acc 0.83793, f1 0.68644, p 0.68067, r 0.69231
Iter 9200, task keysem17, loss 0.3806886821985245, acc 0.83902, f1 0.68477, p 0.68723, r 0.68234
Iter 9300, task keysem17, loss 0.3804771179954211, acc 0.83841, f1 0.67657, p 0.69450, r 0.65954
Iter 9400, task keysem17, loss 0.3787558376789093, acc 0.83890, f1 0.68158, p 0.69055, r 0.67284
Iter 9500, task keysem17, loss 0.3796355202794075, acc 0.83962, f1 0.69076, p 0.68275, r 0.69896
Iter 9600, task keysem17, loss 0.3739199737707774, acc 0.84119, f1 0.67833, p 0.70528, r 0.65337
Iter 9700, task keysem17, loss 0.3704177712400754, acc 0.84325, f1 0.67703, p 0.71732, r 0.64103
Iter 9800, task keysem17, loss 0.37255282203356427, acc 0.83853, f1 0.67210, p 0.70067, r 0.64577
Iter 9900, task keysem17, loss 0.37031073619922, acc 0.84204, f1 0.66701, p 0.72545, r 0.61728
Iter 10000, task keysem17, loss 0.36900806923707324, acc 0.84047, f1 0.68341, p 0.69533, r 0.67189
Iter 10100, task keysem17, loss 0.36702073613802594, acc 0.84132, f1 0.67675, p 0.70799, r 0.64815
Iter 10200, task keysem17, loss 0.36684225002924603, acc 0.84192, f1 0.66581, p 0.72656, r 0.61443
Iter 10300, task keysem17, loss 0.3681369299689929, acc 0.84144, f1 0.65774, p 0.73604, r 0.59449
Iter 10400, task keysem17, loss 0.3652661070227623, acc 0.84107, f1 0.66953, p 0.71668, r 0.62821
Iter 10500, task keysem17, loss 0.3634702612956365, acc 0.84240, f1 0.67584, p 0.71466, r 0.64103
Iter 10600, task keysem17, loss 0.36335832873980206, acc 0.84156, f1 0.66684, p 0.72309, r 0.61871
Iter 10700, task keysem17, loss 0.3633340696493785, acc 0.83999, f1 0.68244, p 0.69435, r 0.67094
Iter 10800, task keysem17, loss 0.3621985912322998, acc 0.83962, f1 0.68195, p 0.69333, r 0.67094
Iter 10900, task keysem17, loss 0.36255181829134625, acc 0.83841, f1 0.67876, p 0.69181, r 0.66619
Iter 11000, task keysem17, loss 0.3587423960367839, acc 0.84168, f1 0.67916, p 0.70652, r 0.65385
Iter 11100, task keysem17, loss 0.3566960295041402, acc 0.84204, f1 0.67189, p 0.71838, r 0.63105
Iter 11200, task keysem17, loss 0.3563270444671313, acc 0.84083, f1 0.68497, p 0.69501, r 0.67521
Iter 11300, task keysem17, loss 0.35613792141278583, acc 0.84119, f1 0.67529, p 0.70936, r 0.64435
Iter 11400, task keysem17, loss 0.3571350152293841, acc 0.83781, f1 0.65724, p 0.71677, r 0.60684
Iter 11500, task keysem17, loss 0.3540962462623914, acc 0.84047, f1 0.66548, p 0.71925, r 0.61918
Iter 11600, task keysem17, loss 0.3542764137188594, acc 0.83926, f1 0.66137, p 0.71866, r 0.61254
Iter 11700, task keysem17, loss 0.3538733646273613, acc 0.84023, f1 0.68445, p 0.69294, r 0.67616
Iter 11800, task keysem17, loss 0.35522450506687164, acc 0.83841, f1 0.65054, p 0.72893, r 0.58737
Iter 11900, task keysem17, loss 0.3523591036597888, acc 0.84023, f1 0.66616, p 0.71639, r 0.62251
Iter 12000, task keysem17, loss 0.35132960478464764, acc 0.84083, f1 0.67575, p 0.70637, r 0.64767
