Iter 2340, task fnt, loss 0.7544856071472168
Iter 2350, task fnt, loss 0.7513558268547058
Iter 2360, task fnt, loss 0.7310040593147278
Iter 2370, task fnt, loss 0.7190994620323181
Iter 2380, task fnt, loss 0.6977381706237793
Iter 2390, task fnt, loss 0.7575401067733765
Iter 2400, task fnt, loss 0.7807705402374268
Iter 2410, task fnt, loss 0.7147901654243469
Iter 2420, task fnt, loss 0.7291723489761353
Iter 2430, task fnt, loss 0.7071167826652527
Iter 2440, task fnt, loss 0.7148470878601074
Iter 2450, task fnt, loss 0.707025945186615
Iter 2460, task fnt, loss 0.7494839429855347
Iter 2470, task fnt, loss 0.740146279335022
Iter 2480, task fnt, loss 0.7143861651420593
Iter 2490, task fnt, loss 0.7205451130867004
Iter 2500, task fnt, loss 0.7069957852363586
Iter 2510, task fnt, loss 0.745025634765625
Iter 2520, task fnt, loss 0.7283830642700195
Iter 2530, task fnt, loss 0.6999597549438477
Iter 2540, task fnt, loss 0.6923314332962036
Iter 2550, task fnt, loss 0.6890683174133301
Iter 2560, task fnt, loss 0.7139512896537781
Iter 2570, task fnt, loss 0.7091245651245117
Iter 2580, task fnt, loss 0.695275604724884
Iter 2590, task fnt, loss 0.7218900322914124
Iter 2600, task fnt, loss 0.7378320693969727
Iter 2610, task fnt, loss 0.7397640943527222
Iter 2620, task fnt, loss 0.6888513565063477
Iter 2630, task fnt, loss 0.7154988050460815
Iter 2640, task fnt, loss 0.716950535774231
Iter 2650, task fnt, loss 0.7126564979553223
Iter 2660, task fnt, loss 0.7101311087608337
Iter 2670, task fnt, loss 0.6837171316146851
Iter 2680, task fnt, loss 0.6780198216438293
Iter 2690, task fnt, loss 0.6782102584838867
Iter 2700, task fnt, loss 0.6835463643074036
Iter 2710, task fnt, loss 0.6694391369819641
Iter 2720, task fnt, loss 0.6799806356430054
Iter 2730, task fnt, loss 0.7045774459838867
Iter 2740, task fnt, loss 0.7054114937782288
Iter 2750, task fnt, loss 0.7153480648994446
Iter 2760, task fnt, loss 0.6838744282722473
Iter 2770, task fnt, loss 0.7242080569267273
Iter 2780, task fnt, loss 0.6893771886825562
