Iter 2040, task ccg, loss 3.442761182785034
Iter 2050, task ccg, loss 3.540109157562256
Iter 2060, task ccg, loss 3.4788944721221924
Iter 2070, task ccg, loss 3.4394125938415527
Iter 2080, task ccg, loss 3.4326725006103516
Iter 2090, task ccg, loss 3.376159191131592
Iter 2100, task ccg, loss 3.440772294998169
Iter 2110, task ccg, loss 3.4191653728485107
Iter 2120, task ccg, loss 3.3040859699249268
Iter 2130, task ccg, loss 3.408226490020752
Iter 2140, task ccg, loss 3.4891293048858643
Iter 2150, task ccg, loss 3.4194228649139404
Iter 2160, task ccg, loss 3.3396999835968018
Iter 2170, task ccg, loss 3.351792812347412
Iter 2180, task ccg, loss 3.4167892932891846
Iter 2190, task ccg, loss 3.4973812103271484
Iter 2200, task ccg, loss 3.378920078277588
Iter 2210, task ccg, loss 3.4309535026550293
Iter 2220, task ccg, loss 3.391209363937378
Iter 2230, task ccg, loss 3.396313190460205
Iter 2240, task ccg, loss 3.27172589302063
Iter 2250, task ccg, loss 3.4578680992126465
Iter 2260, task ccg, loss 3.359130382537842
Iter 2270, task ccg, loss 3.3966126441955566
Iter 2280, task ccg, loss 3.46417236328125
Iter 2290, task ccg, loss 3.4147918224334717
Iter 2300, task ccg, loss 3.421856641769409
Iter 2310, task ccg, loss 3.3715615272521973
Iter 2320, task ccg, loss 3.366722822189331
Iter 2330, task ccg, loss 3.393148422241211
Iter 2340, task ccg, loss 3.331841230392456
Iter 2350, task ccg, loss 3.1806702613830566
Iter 2360, task ccg, loss 3.423884868621826
Iter 2370, task ccg, loss 3.209308624267578
Iter 2380, task ccg, loss 3.41196870803833
Iter 2390, task ccg, loss 3.293595790863037
Iter 2400, task ccg, loss 3.243420362472534
Iter 2410, task ccg, loss 3.2917723655700684
Iter 2420, task ccg, loss 3.3101658821105957
Iter 2430, task ccg, loss 3.377993106842041
Iter 2440, task ccg, loss 3.297241687774658
Iter 2450, task ccg, loss 3.327728748321533
Iter 2460, task ccg, loss 3.218198776245117
Iter 2470, task ccg, loss 3.2807765007019043
Iter 2480, task ccg, loss 3.398106813430786
Iter 2490, task ccg, loss 3.2091166973114014
Iter 2500, task ccg, loss 3.3173089027404785
Iter 2510, task ccg, loss 3.282360553741455
Iter 2520, task ccg, loss 3.252857208251953
Iter 2530, task ccg, loss 3.2548117637634277
Iter 2540, task ccg, loss 3.2827048301696777
Iter 2550, task ccg, loss 3.3058419227600098
Iter 2560, task ccg, loss 3.274956464767456
Iter 2570, task ccg, loss 3.2565321922302246
Iter 2580, task ccg, loss 3.1817612648010254
Iter 2590, task ccg, loss 3.200627088546753
Iter 2600, task ccg, loss 3.202345609664917
Iter 2610, task ccg, loss 3.268709659576416
Iter 2620, task ccg, loss 3.1984448432922363
Iter 2630, task ccg, loss 3.38676118850708
Iter 2640, task ccg, loss 3.2940337657928467
Iter 2650, task ccg, loss 3.1351799964904785
Iter 2660, task ccg, loss 3.20251727104187
Iter 2670, task ccg, loss 3.138453245162964
Iter 2680, task ccg, loss 3.2272167205810547
Iter 2690, task ccg, loss 3.3378665447235107
Iter 2700, task ccg, loss 3.137648105621338
Iter 2710, task ccg, loss 3.1676993370056152
Iter 2720, task ccg, loss 3.1463398933410645
Iter 2730, task ccg, loss 3.260110855102539
Iter 2740, task ccg, loss 3.17195987701416
Iter 2750, task ccg, loss 3.2426514625549316
Iter 2760, task ccg, loss 3.1373538970947266
Iter 2770, task ccg, loss 3.2229301929473877
Iter 2780, task ccg, loss 3.276026487350464
Iter 2790, task ccg, loss 3.282301664352417
Iter 2800, task ccg, loss 3.241793155670166
Iter 2810, task ccg, loss 3.1587910652160645
Iter 2820, task ccg, loss 3.1726410388946533
Iter 2830, task ccg, loss 3.1012909412384033
Iter 2840, task ccg, loss 3.1484551429748535
Iter 2850, task ccg, loss 3.1628973484039307
Iter 2860, task ccg, loss 3.2061798572540283
Iter 2870, task ccg, loss 3.160679578781128
Iter 2880, task ccg, loss 3.182239055633545
Iter 2890, task ccg, loss 3.1593284606933594
Iter 2900, task ccg, loss 3.169869899749756
Iter 2910, task ccg, loss 3.1874241828918457
Iter 2920, task ccg, loss 3.144174098968506
Iter 2930, task ccg, loss 3.161081552505493
Iter 2940, task ccg, loss 3.2900948524475098
Iter 2950, task ccg, loss 3.1989474296569824
Iter 2960, task ccg, loss 3.190372943878174
Iter 2970, task ccg, loss 3.0988717079162598
Iter 2980, task ccg, loss 3.199998140335083
Iter 2990, task ccg, loss 3.1607508659362793
Iter 3000, task ccg, loss 3.1720080375671387
Iter 3010, task ccg, loss 3.156695604324341
Iter 3020, task ccg, loss 3.127021312713623
Iter 3030, task ccg, loss 3.1021249294281006
Iter 3040, task ccg, loss 3.0816638469696045
