Iter 8700, task streusle, loss 1.9220280011494955, acc 0.70270, f1 0.48931, p 0.52947, r 0.45481
Iter 8800, task streusle, loss 1.9075494845708212, acc 0.70423, f1 0.49169, p 0.53146, r 0.45746
Iter 8900, task streusle, loss 1.8936517318089803, acc 0.70392, f1 0.49092, p 0.52927, r 0.45776
Iter 9000, task streusle, loss 1.8794676383336386, acc 0.70423, f1 0.49089, p 0.52609, r 0.46011
Iter 9100, task streusle, loss 1.8657281319300334, acc 0.70545, f1 0.49313, p 0.53165, r 0.45982
Iter 9200, task streusle, loss 1.8515974680582683, acc 0.70713, f1 0.49621, p 0.53449, r 0.46306
Iter 9300, task streusle, loss 1.8378017584482829, acc 0.70667, f1 0.49518, p 0.53406, r 0.46158
Iter 9400, task streusle, loss 1.8242620786031087, acc 0.70759, f1 0.49708, p 0.53610, r 0.46335
Iter 9500, task streusle, loss 1.8106605927149455, acc 0.70896, f1 0.49882, p 0.53545, r 0.46688
Iter 9600, task streusle, loss 1.796573519706726, acc 0.70881, f1 0.49866, p 0.53741, r 0.46512
Iter 9700, task streusle, loss 1.7828617652257284, acc 0.70896, f1 0.49827, p 0.53650, r 0.46512
Iter 9800, task streusle, loss 1.7696701685587566, acc 0.70881, f1 0.49779, p 0.53619, r 0.46453
Iter 9900, task streusle, loss 1.7560925324757894, acc 0.71049, f1 0.50126, p 0.53993, r 0.46777
Iter 10000, task streusle, loss 1.7422949552536011, acc 0.71202, f1 0.50211, p 0.53420, r 0.47365
Iter 10100, task streusle, loss 1.728960132598877, acc 0.71171, f1 0.50188, p 0.53556, r 0.47218
Iter 10200, task streusle, loss 1.7151264111200968, acc 0.71141, f1 0.50189, p 0.53942, r 0.46924
Iter 10300, task streusle, loss 1.7017045736312866, acc 0.71263, f1 0.50361, p 0.53875, r 0.47277
Iter 10400, task streusle, loss 1.688801368077596, acc 0.71370, f1 0.50447, p 0.53996, r 0.47336
Iter 10500, task streusle, loss 1.675307854016622, acc 0.71415, f1 0.50533, p 0.54079, r 0.47424
Iter 10600, task streusle, loss 1.6618975321451823, acc 0.71400, f1 0.50563, p 0.53957, r 0.47571
Iter 10700, task streusle, loss 1.6490224202473958, acc 0.71568, f1 0.50769, p 0.54350, r 0.47630
Iter 10800, task streusle, loss 1.6362982670466104, acc 0.71706, f1 0.51020, p 0.54659, r 0.47836
Iter 10900, task streusle, loss 1.6227024952570597, acc 0.71767, f1 0.51135, p 0.54615, r 0.48072
Iter 11000, task streusle, loss 1.609342352549235, acc 0.71721, f1 0.50993, p 0.54367, r 0.48013
Iter 11100, task streusle, loss 1.5964483817418416, acc 0.71736, f1 0.51064, p 0.54491, r 0.48042
Iter 11200, task streusle, loss 1.5836299498875936, acc 0.71874, f1 0.51292, p 0.54783, r 0.48219
Iter 11300, task streusle, loss 1.570362909634908, acc 0.71874, f1 0.51345, p 0.54752, r 0.48337
Iter 11400, task streusle, loss 1.5576789538065592, acc 0.71843, f1 0.51206, p 0.54701, r 0.48131
Iter 11500, task streusle, loss 1.5446731567382812, acc 0.71675, f1 0.50922, p 0.54282, r 0.47954
Iter 11600, task streusle, loss 1.5317893822987874, acc 0.71874, f1 0.51277, p 0.54449, r 0.48455
Iter 11700, task streusle, loss 1.5190690120061239, acc 0.71782, f1 0.51140, p 0.54476, r 0.48190
Iter 11800, task streusle, loss 1.5063904921213787, acc 0.71904, f1 0.51308, p 0.54482, r 0.48484
Iter 11900, task streusle, loss 1.493556014696757, acc 0.71919, f1 0.51310, p 0.54561, r 0.48425
Iter 12000, task streusle, loss 1.481440806388855, acc 0.72057, f1 0.51575, p 0.55164, r 0.48425
Iter 12100, task streusle, loss 1.4688347419102987, acc 0.72026, f1 0.51534, p 0.54693, r 0.48719
Iter 12200, task streusle, loss 1.4565016905466714, acc 0.72133, f1 0.51713, p 0.55174, r 0.48661
Iter 12300, task streusle, loss 1.4438850323359171, acc 0.72072, f1 0.51646, p 0.54947, r 0.48719
Iter 12400, task streusle, loss 1.4315487623214722, acc 0.72057, f1 0.51612, p 0.54795, r 0.48778
Iter 12500, task streusle, loss 1.4196489890416464, acc 0.72301, f1 0.52018, p 0.55489, r 0.48955
