Iter 4290, task streusle, loss 2.5308594703674316
Iter 4300, task streusle, loss 2.6035189628601074
Iter 4310, task streusle, loss 2.6359474658966064
Iter 4320, task streusle, loss 2.5381360054016113
Iter 4330, task streusle, loss 2.564117431640625
Iter 4340, task streusle, loss 2.565093994140625
Iter 4350, task streusle, loss 2.5174078941345215
Iter 4360, task streusle, loss 2.577333927154541
Iter 4370, task streusle, loss 2.5382940769195557
Iter 4380, task streusle, loss 2.512357473373413
Iter 4390, task streusle, loss 2.561511754989624
Iter 4400, task streusle, loss 2.5445706844329834
Iter 4410, task streusle, loss 2.5562398433685303
Iter 4420, task streusle, loss 2.5349433422088623
Iter 4430, task streusle, loss 2.4734151363372803
Iter 4440, task streusle, loss 2.465947389602661
Iter 4450, task streusle, loss 2.5919666290283203
Iter 4460, task streusle, loss 2.552302837371826
Iter 4470, task streusle, loss 2.5739076137542725
Iter 4480, task streusle, loss 2.5023343563079834
Iter 4490, task streusle, loss 2.489163637161255
Iter 4500, task streusle, loss 2.5886754989624023
Iter 4510, task streusle, loss 2.532938241958618
Iter 4520, task streusle, loss 2.563631057739258
Iter 4530, task streusle, loss 2.4772326946258545
Iter 4540, task streusle, loss 2.5091090202331543
Iter 4550, task streusle, loss 2.4781997203826904
Iter 4560, task streusle, loss 2.5179476737976074
Iter 4570, task streusle, loss 2.5295372009277344
Iter 4580, task streusle, loss 2.591049909591675
Iter 4590, task streusle, loss 2.512223720550537
Iter 4600, task streusle, loss 2.5218217372894287
Iter 4610, task streusle, loss 2.5132617950439453
Iter 4620, task streusle, loss 2.4767887592315674
Iter 4630, task streusle, loss 2.548769235610962
Iter 4640, task streusle, loss 2.49824595451355
Iter 4650, task streusle, loss 2.484823703765869
Iter 4660, task streusle, loss 2.509953737258911
Iter 4670, task streusle, loss 2.491032838821411
Iter 4680, task streusle, loss 2.541454315185547
Iter 4690, task streusle, loss 2.4931392669677734
Iter 4700, task streusle, loss 2.499077081680298
Iter 4710, task streusle, loss 2.4769790172576904
Iter 4720, task streusle, loss 2.4967570304870605
Iter 4730, task streusle, loss 2.4375972747802734
Iter 4740, task streusle, loss 2.584306240081787
Iter 4750, task streusle, loss 2.482347011566162
Iter 4760, task streusle, loss 2.4563686847686768
Iter 4770, task streusle, loss 2.4182820320129395
Iter 4780, task streusle, loss 2.4688024520874023
Iter 4790, task streusle, loss 2.4775664806365967
Iter 4800, task streusle, loss 2.469271183013916
Iter 4810, task streusle, loss 2.422463893890381
Iter 4820, task streusle, loss 2.4829163551330566
