Iter 4100, task com, loss 0.638277401526769, acc 0.82399, f1 0.23564, p 0.60199, r 0.14649
Iter 4200, task streusle, loss 2.969856691360474, acc 0.53932, f1 0.20677, p 0.35586, r 0.14572
Iter 4200, task com, loss 0.6356058716773987, acc 0.82487, f1 0.23907, p 0.60591, r 0.14891
Iter 4300, task streusle, loss 2.960371478398641, acc 0.54665, f1 0.22213, p 0.36548, r 0.15955
Iter 4300, task com, loss 0.6332682967185974, acc 0.82509, f1 0.25096, p 0.60092, r 0.15860
Iter 4400, task streusle, loss 2.9509050846099854, acc 0.55367, f1 0.23539, p 0.37316, r 0.17192
Iter 4400, task com, loss 0.6307586332162222, acc 0.82553, f1 0.24517, p 0.60476, r 0.15375
Iter 4500, task streusle, loss 2.939040184020996, acc 0.55612, f1 0.23880, p 0.37243, r 0.17574
Iter 4500, task com, loss 0.6292213400204977, acc 0.82575, f1 0.24687, p 0.60664, r 0.15496
Iter 4600, task streusle, loss 2.9297311464945475, acc 0.55947, f1 0.24493, p 0.37722, r 0.18134
Iter 4600, task com, loss 0.6272788445154825, acc 0.82751, f1 0.26894, p 0.61739, r 0.17191
Iter 4700, task streusle, loss 2.9208762645721436, acc 0.56253, f1 0.24990, p 0.36653, r 0.18958
Iter 4700, task com, loss 0.6246389249960581, acc 0.82751, f1 0.25409, p 0.61972, r 0.15981
Iter 4800, task streusle, loss 2.90991317431132, acc 0.56558, f1 0.25656, p 0.37757, r 0.19429
Iter 4800, task com, loss 0.6229146718978882, acc 0.82707, f1 0.23576, p 0.62500, r 0.14528
Iter 4900, task streusle, loss 2.9007648468017577, acc 0.56650, f1 0.25680, p 0.37207, r 0.19606
Iter 4900, task com, loss 0.6208618382612864, acc 0.82883, f1 0.26667, p 0.62500, r 0.16949
Iter 5000, task streusle, loss 2.891281000773112, acc 0.57123, f1 0.26538, p 0.37169, r 0.20636
Iter 5000, task com, loss 0.6185715893904368, acc 0.82773, f1 0.24390, p 0.62814, r 0.15133
Iter 5100, task streusle, loss 2.8806047439575195, acc 0.57291, f1 0.26720, p 0.37309, r 0.20812
Iter 5100, task com, loss 0.616905947526296, acc 0.82729, f1 0.24047, p 0.62437, r 0.14891
Iter 5200, task streusle, loss 2.8716341336568196, acc 0.57520, f1 0.27208, p 0.37888, r 0.21225
