Iter 5300, task hyperlinks, loss 0.562719484170278, acc 0.84658, f1 0.30291, p 0.72897, r 0.19118
Iter 5400, task gpos, loss 1.5914403676986695, acc 0.72322, f1 0.72594, p 0.72867, r 0.72322
Iter 5400, task hyperlinks, loss 0.559929778178533, acc 0.84573, f1 0.30443, p 0.71171, r 0.19363
Iter 5500, task gpos, loss 1.5822001218795776, acc 0.72542, f1 0.72814, p 0.73088, r 0.72542
Iter 5500, task hyperlinks, loss 0.5591917832692465, acc 0.84615, f1 0.31034, p 0.71053, r 0.19853
Iter 5600, task gpos, loss 1.571851666768392, acc 0.72821, f1 0.73094, p 0.73369, r 0.72821
Iter 5600, task hyperlinks, loss 0.5587242046991984, acc 0.84658, f1 0.30561, p 0.72477, r 0.19363
Iter 5700, task gpos, loss 1.5639325857162476, acc 0.73011, f1 0.73285, p 0.73561, r 0.73011
Iter 5700, task hyperlinks, loss 0.5577923556168874, acc 0.84954, f1 0.34815, p 0.71212, r 0.23039
Iter 5800, task gpos, loss 1.5541760683059693, acc 0.73158, f1 0.73426, p 0.73697, r 0.73158
Iter 5800, task hyperlinks, loss 0.5554769734541575, acc 0.84869, f1 0.32700, p 0.72881, r 0.21078
Iter 5900, task gpos, loss 1.544141912460327, acc 0.73304, f1 0.73563, p 0.73823, r 0.73304
Iter 5900, task hyperlinks, loss 0.556238720814387, acc 0.84954, f1 0.34815, p 0.71212, r 0.23039
Iter 6000, task gpos, loss 1.5346371253331503, acc 0.73480, f1 0.73728, p 0.73978, r 0.73480
Iter 6000, task hyperlinks, loss 0.5548970500628153, acc 0.84911, f1 0.33270, p 0.72727, r 0.21569
Iter 6100, task gpos, loss 1.5231258074442546, acc 0.73685, f1 0.73918, p 0.74152, r 0.73685
Iter 6100, task hyperlinks, loss 0.5528470774491628, acc 0.84658, f1 0.30291, p 0.72897, r 0.19118
Iter 6200, task gpos, loss 1.515952754020691, acc 0.73875, f1 0.74098, p 0.74322, r 0.73875
Iter 6200, task hyperlinks, loss 0.5522942543029785, acc 0.84911, f1 0.34264, p 0.71318, r 0.22549
Iter 6300, task gpos, loss 1.5069823185602824, acc 0.74212, f1 0.74442, p 0.74672, r 0.74212
Iter 6300, task hyperlinks, loss 0.5510691901048025, acc 0.85080, f1 0.35009, p 0.72868, r 0.23039
Iter 6400, task gpos, loss 1.4988123178482056, acc 0.74256, f1 0.74480, p 0.74705, r 0.74256
Iter 6400, task hyperlinks, loss 0.5496533711751302, acc 0.84869, f1 0.32700, p 0.72881, r 0.21078
Iter 6500, task gpos, loss 1.4917542298634847, acc 0.74447, f1 0.74666, p 0.74886, r 0.74447
Iter 6500, task hyperlinks, loss 0.5515134831269582, acc 0.84869, f1 0.36331, p 0.68243, r 0.24755
Iter 6600, task gpos, loss 1.485481890042623, acc 0.74286, f1 0.74499, p 0.74713, r 0.74286
Iter 6600, task hyperlinks, loss 0.54887455701828, acc 0.85038, f1 0.34211, p 0.73387, r 0.22304
Iter 6700, task gpos, loss 1.477672537167867, acc 0.74637, f1 0.74857, p 0.75077, r 0.74637
Iter 6700, task hyperlinks, loss 0.5479818284511566, acc 0.84954, f1 0.33333, p 0.73333, r 0.21569
Iter 6800, task gpos, loss 1.468470581372579, acc 0.74916, f1 0.75125, p 0.75335, r 0.74916
Iter 6800, task hyperlinks, loss 0.5465771357218424, acc 0.84911, f1 0.34019, p 0.71654, r 0.22304
Iter 6900, task gpos, loss 1.4589996814727784, acc 0.74974, f1 0.75189, p 0.75405, r 0.74974
