Iter 4000, task com, loss 0.6697264313697815, acc 0.82883, f1 0.26296, p 0.63426, r 0.16586
Iter 4000, task hyperlinks, loss 0.5591619114081064, acc 0.84193, f1 0.25155, p 0.79221, r 0.14951
Iter 4100, task com, loss 0.6665708522001902, acc 0.82641, f1 0.22795, p 0.62842, r 0.13923
Iter 4100, task hyperlinks, loss 0.5561569929122925, acc 0.84024, f1 0.23061, p 0.79710, r 0.13480
Iter 4200, task com, loss 0.6645939151446024, acc 0.82751, f1 0.24537, p 0.62687, r 0.15254
Iter 4200, task hyperlinks, loss 0.5545934736728668, acc 0.84277, f1 0.24793, p 0.78947, r 0.14706
Iter 4300, task com, loss 0.6621724466482798, acc 0.82707, f1 0.24047, p 0.62437, r 0.14891
Iter 4300, task hyperlinks, loss 0.5540697673956553, acc 0.84700, f1 0.28571, p 0.79775, r 0.17402
Iter 4400, task com, loss 0.6603187421957651, acc 0.82905, f1 0.25725, p 0.63942, r 0.16102
Iter 4400, task hyperlinks, loss 0.5514424840609232, acc 0.84573, f1 0.26639, p 0.81250, r 0.15931
Iter 4500, task com, loss 0.6587546070416769, acc 0.82927, f1 0.26321, p 0.63721, r 0.16586
Iter 4500, task hyperlinks, loss 0.549459308385849, acc 0.84742, f1 0.28571, p 0.79775, r 0.17402
Iter 4600, task com, loss 0.6565897067387899, acc 0.82817, f1 0.24903, p 0.63366, r 0.15496
Iter 4600, task hyperlinks, loss 0.5474635064601898, acc 0.84784, f1 0.27992, p 0.81176, r 0.16912
Iter 4700, task com, loss 0.654895414908727, acc 0.82751, f1 0.24242, p 0.62944, r 0.15012
Iter 4700, task hyperlinks, loss 0.5462220013141632, acc 0.84954, f1 0.29376, p 0.82022, r 0.17892
Iter 4800, task com, loss 0.6532478928565979, acc 0.82927, f1 0.26321, p 0.63721, r 0.16586
Iter 4800, task hyperlinks, loss 0.544967939456304, acc 0.84869, f1 0.29259, p 0.80220, r 0.17892
Iter 4900, task com, loss 0.6508301695187887, acc 0.82905, f1 0.25581, p 0.64078, r 0.15981
Iter 4900, task hyperlinks, loss 0.5436898171901703, acc 0.84827, f1 0.29762, p 0.78125, r 0.18382
Iter 5000, task com, loss 0.6492053767045339, acc 0.82861, f1 0.25243, p 0.63725, r 0.15738
Iter 5000, task hyperlinks, loss 0.5419176816940308, acc 0.84869, f1 0.29541, p 0.79570, r 0.18137
Iter 5100, task com, loss 0.6475890775521597, acc 0.82927, f1 0.25024, p 0.64975, r 0.15496
Iter 5100, task hyperlinks, loss 0.5411929786205292, acc 0.84700, f1 0.29586, p 0.75758, r 0.18382
Iter 5200, task com, loss 0.6460985839366913, acc 0.82839, f1 0.24039, p 0.64550, r 0.14770
Iter 5200, task hyperlinks, loss 0.5392659405867258, acc 0.84827, f1 0.29762, p 0.78125, r 0.18382
Iter 5300, task com, loss 0.6438910166422526, acc 0.82927, f1 0.25171, p 0.64824, r 0.15617
Iter 5300, task hyperlinks, loss 0.5378716786702474, acc 0.84911, f1 0.31518, p 0.76415, r 0.19853
Iter 5400, task com, loss 0.6426149706045786, acc 0.82993, f1 0.27514, p 0.63596, r 0.17554
Iter 5400, task hyperlinks, loss 0.5357139706611633, acc 0.84784, f1 0.30255, p 0.76238, r 0.18873
Iter 5500, task com, loss 0.6411817272504171, acc 0.82861, f1 0.27767, p 0.61667, r 0.17918
Iter 5500, task hyperlinks, loss 0.5341156522432963, acc 0.84911, f1 0.30159, p 0.79167, r 0.18627
Iter 5600, task com, loss 0.6391567488511404, acc 0.82971, f1 0.27073, p 0.63677, r 0.17191
Iter 5600, task hyperlinks, loss 0.5345188875993093, acc 0.84827, f1 0.33208, p 0.72131, r 0.21569
Iter 5700, task com, loss 0.6373916963736216, acc 0.83015, f1 0.26513, p 0.64186, r 0.16707
Iter 5700, task hyperlinks, loss 0.5319364766279856, acc 0.84996, f1 0.32432, p 0.76364, r 0.20588
Iter 5800, task com, loss 0.6359502673149109, acc 0.83059, f1 0.26846, p 0.64516, r 0.16949
Iter 5800, task hyperlinks, loss 0.530529628197352, acc 0.84784, f1 0.30528, p 0.75728, r 0.19118
Iter 5900, task com, loss 0.6342702011267344, acc 0.83015, f1 0.26372, p 0.64319, r 0.16586
Iter 5900, task hyperlinks, loss 0.5288486381371816, acc 0.84784, f1 0.30528, p 0.75728, r 0.19118
Iter 6000, task com, loss 0.6326520244280497, acc 0.82993, f1 0.26769, p 0.63636, r 0.16949
Iter 6000, task hyperlinks, loss 0.527970959742864, acc 0.84954, f1 0.29600, p 0.80435, r 0.18137
Iter 6100, task com, loss 0.631185899178187, acc 0.82905, f1 0.27632, p 0.61765, r 0.17797
Iter 6100, task hyperlinks, loss 0.5262263516585032, acc 0.84954, f1 0.31518, p 0.76415, r 0.19853
Iter 6200, task com, loss 0.6293855607509613, acc 0.83169, f1 0.27255, p 0.65741, r 0.17191
Iter 6200, task hyperlinks, loss 0.5250057776769003, acc 0.84954, f1 0.32308, p 0.75000, r 0.20588
Iter 6300, task com, loss 0.6278096636136373, acc 0.83103, f1 0.26306, p 0.65385, r 0.16465
Iter 6300, task hyperlinks, loss 0.5238568683465322, acc 0.84827, f1 0.32638, p 0.72269, r 0.21078
Iter 6400, task com, loss 0.6261859734853109, acc 0.83037, f1 0.26112, p 0.64904, r 0.16344
Iter 6400, task hyperlinks, loss 0.5222329397996267, acc 0.84954, f1 0.31783, p 0.75926, r 0.20098
Iter 6500, task com, loss 0.6247114737828573, acc 0.83015, f1 0.27048, p 0.63393, r 0.17191
Iter 6500, task hyperlinks, loss 0.5205480257670084, acc 0.84954, f1 0.30709, p 0.78000, r 0.19118
Iter 6600, task com, loss 0.6232892274856567, acc 0.83059, f1 0.27788, p 0.63362, r 0.17797
Iter 6600, task hyperlinks, loss 0.5197745660940806, acc 0.84911, f1 0.34264, p 0.71318, r 0.22549
Iter 6700, task com, loss 0.6218801736831665, acc 0.83059, f1 0.27238, p 0.63839, r 0.17312
Iter 6700, task hyperlinks, loss 0.5186636745929718, acc 0.84784, f1 0.32830, p 0.71311, r 0.21324
Iter 6800, task com, loss 0.6211140255133311, acc 0.82883, f1 0.28651, p 0.60547, r 0.18765
Iter 6800, task hyperlinks, loss 0.5179379085699717, acc 0.84700, f1 0.32197, p 0.70833, r 0.20833
Iter 6900, task com, loss 0.6196737488110861, acc 0.82993, f1 0.29568, p 0.61217, r 0.19492
Iter 6900, task hyperlinks, loss 0.5169659753640493, acc 0.84827, f1 0.32381, p 0.72650, r 0.20833
Iter 7000, task com, loss 0.6172040303548177, acc 0.83081, f1 0.27788, p 0.63362, r 0.17797
Iter 7000, task hyperlinks, loss 0.5158241987228394, acc 0.84784, f1 0.31274, p 0.73636, r 0.19853
Iter 7100, task com, loss 0.6153561770915985, acc 0.83125, f1 0.27841, p 0.63913, r 0.17797
Iter 7100, task hyperlinks, loss 0.5153522193431854, acc 0.84869, f1 0.31395, p 0.75000, r 0.19853
Iter 7200, task com, loss 0.6138656040032705, acc 0.83103, f1 0.27540, p 0.63877, r 0.17554
Iter 7200, task hyperlinks, loss 0.5151592393716177, acc 0.84658, f1 0.31358, p 0.71304, r 0.20098
Iter 7300, task com, loss 0.6122012039025625, acc 0.83037, f1 0.26908, p 0.63514, r 0.17070
Iter 7300, task hyperlinks, loss 0.5139212707678477, acc 0.84869, f1 0.32700, p 0.72881, r 0.21078
Iter 7400, task com, loss 0.610600471496582, acc 0.83037, f1 0.26908, p 0.63514, r 0.17070
Iter 7400, task hyperlinks, loss 0.512750506401062, acc 0.84742, f1 0.31478, p 0.72566, r 0.20098
Iter 7500, task com, loss 0.6101179222265879, acc 0.83234, f1 0.30614, p 0.63019, r 0.20218
Iter 7500, task hyperlinks, loss 0.512157122294108, acc 0.84869, f1 0.31660, p 0.74545, r 0.20098
Iter 7600, task com, loss 0.6077892978986105, acc 0.83081, f1 0.28705, p 0.62348, r 0.18644
Iter 7600, task hyperlinks, loss 0.5118619501590729, acc 0.84784, f1 0.34074, p 0.69697, r 0.22549
Iter 7700, task com, loss 0.6064011553923289, acc 0.83125, f1 0.27540, p 0.63877, r 0.17554
Iter 7700, task hyperlinks, loss 0.5112703641255697, acc 0.84784, f1 0.33829, p 0.70000, r 0.22304
Iter 7800, task com, loss 0.6049158771832784, acc 0.83125, f1 0.27402, p 0.64000, r 0.17433
Iter 7800, task hyperlinks, loss 0.5104439755280813, acc 0.84911, f1 0.34508, p 0.70992, r 0.22794
Iter 7900, task com, loss 0.6033556858698527, acc 0.83169, f1 0.28545, p 0.63598, r 0.18402
Iter 7900, task hyperlinks, loss 0.5089261829853058, acc 0.84827, f1 0.32122, p 0.73043, r 0.20588
Iter 8000, task com, loss 0.6018515129884084, acc 0.83169, f1 0.28945, p 0.63265, r 0.18765
Iter 8000, task hyperlinks, loss 0.5110135972499847, acc 0.84615, f1 0.35714, p 0.65789, r 0.24510
Iter 8100, task com, loss 0.6002241571744283, acc 0.83147, f1 0.28383, p 0.63445, r 0.18281
Iter 8100, task hyperlinks, loss 0.5079662601153055, acc 0.84869, f1 0.32443, p 0.73276, r 0.20833
Iter 8200, task com, loss 0.5988220969835917, acc 0.83147, f1 0.27678, p 0.63755, r 0.17676
Iter 8200, task hyperlinks, loss 0.5076842804749807, acc 0.84784, f1 0.35273, p 0.68310, r 0.23775
Iter 8300, task com, loss 0.5975659588972727, acc 0.83125, f1 0.28060, p 0.63136, r 0.18039
Iter 8300, task hyperlinks, loss 0.5061044494311014, acc 0.84996, f1 0.34082, p 0.72222, r 0.22304
Iter 8400, task com, loss 0.5959981083869934, acc 0.83169, f1 0.29341, p 0.62948, r 0.19128
Iter 8400, task hyperlinks, loss 0.5044278105099996, acc 0.84827, f1 0.33582, p 0.70312, r 0.22059
Iter 8500, task com, loss 0.5945120056470236, acc 0.83212, f1 0.29889, p 0.62791, r 0.19613
Iter 8500, task hyperlinks, loss 0.5023240049680074, acc 0.84996, f1 0.35055, p 0.70896, r 0.23284
Iter 8600, task com, loss 0.5934794247150421, acc 0.83234, f1 0.30459, p 0.62879, r 0.20097
Iter 8600, task hyperlinks, loss 0.501315693060557, acc 0.84827, f1 0.32319, p 0.72034, r 0.20833
Iter 8700, task com, loss 0.5923752884070078, acc 0.83191, f1 0.30018, p 0.62692, r 0.19734
Iter 8700, task hyperlinks, loss 0.5012655556201935, acc 0.84996, f1 0.35055, p 0.70896, r 0.23284
Iter 8800, task com, loss 0.5905474821726481, acc 0.83234, f1 0.29526, p 0.63347, r 0.19249
Iter 8800, task hyperlinks, loss 0.50040269891421, acc 0.85292, f1 0.40000, p 0.68862, r 0.28186
Iter 8900, task com, loss 0.5895108878612518, acc 0.83234, f1 0.27368, p 0.65297, r 0.17312
Iter 8900, task hyperlinks, loss 0.4991750319798787, acc 0.85080, f1 0.36131, p 0.70714, r 0.24265
Iter 9000, task com, loss 0.5878446896870931, acc 0.83147, f1 0.28087, p 0.63404, r 0.18039
Iter 9000, task hyperlinks, loss 0.499112069606781, acc 0.85334, f1 0.40278, p 0.69048, r 0.28431
Iter 9100, task com, loss 0.586996446053187, acc 0.83234, f1 0.30303, p 0.62738, r 0.19976
Iter 9100, task hyperlinks, loss 0.4971011281013489, acc 0.84954, f1 0.31985, p 0.74775, r 0.20343
Iter 9200, task com, loss 0.5857026080290476, acc 0.83212, f1 0.30530, p 0.62313, r 0.20218
Iter 9200, task hyperlinks, loss 0.497259388367335, acc 0.85038, f1 0.34637, p 0.72093, r 0.22794
Iter 9300, task com, loss 0.5842515776554743, acc 0.83212, f1 0.30018, p 0.62692, r 0.19734
Iter 9300, task hyperlinks, loss 0.4962175289789836, acc 0.85080, f1 0.36823, p 0.69863, r 0.25000
Iter 9400, task com, loss 0.5827811509370804, acc 0.83234, f1 0.30175, p 0.62835, r 0.19855
Iter 9400, task hyperlinks, loss 0.49501490592956543, acc 0.84784, f1 0.32258, p 0.71429, r 0.20833
Iter 9500, task com, loss 0.5816111962000529, acc 0.83300, f1 0.30896, p 0.63060, r 0.20460
Iter 9500, task hyperlinks, loss 0.49494635065396625, acc 0.85376, f1 0.39292, p 0.70701, r 0.27206
Iter 9600, task com, loss 0.5800556292136511, acc 0.83278, f1 0.30994, p 0.62731, r 0.20581
Iter 9600, task hyperlinks, loss 0.49322543541590375, acc 0.85249, f1 0.36861, p 0.72143, r 0.24755
Iter 9700, task com, loss 0.5794709473848343, acc 0.83344, f1 0.32558, p 0.62329, r 0.22034
Iter 9700, task hyperlinks, loss 0.49569234251976013, acc 0.85165, f1 0.41017, p 0.66484, r 0.29657
Iter 9800, task com, loss 0.5774737993876139, acc 0.83366, f1 0.31079, p 0.63433, r 0.20581
Iter 9800, task hyperlinks, loss 0.49154407779375714, acc 0.84996, f1 0.34082, p 0.72222, r 0.22304
Iter 9900, task com, loss 0.5757400343815485, acc 0.83366, f1 0.29296, p 0.65272, r 0.18886
