Iter 9800, task semcor, loss 1.3171272946687465, acc 0.75801, f1 0.53534, p 0.54825, r 0.52302
Iter 9900, task semcor, loss 1.3090492200653991, acc 0.75854, f1 0.53635, p 0.55076, r 0.52268
Iter 10000, task semcor, loss 1.3010176242508502, acc 0.75918, f1 0.53735, p 0.55113, r 0.52424
Iter 10100, task semcor, loss 1.2928550848062488, acc 0.76038, f1 0.53904, p 0.55332, r 0.52549
Iter 10200, task semcor, loss 1.2847701325920058, acc 0.76038, f1 0.53936, p 0.55328, r 0.52612
Iter 10300, task semcor, loss 1.2767951941391449, acc 0.76178, f1 0.54215, p 0.55643, r 0.52857
Iter 10400, task semcor, loss 1.2686694407561798, acc 0.76203, f1 0.54272, p 0.55558, r 0.53044
Iter 10500, task semcor, loss 1.2607475189688784, acc 0.76296, f1 0.54402, p 0.55602, r 0.53252
Iter 10600, task semcor, loss 1.252583248644882, acc 0.76385, f1 0.54612, p 0.55822, r 0.53453
Iter 10700, task semcor, loss 1.2448329441789268, acc 0.76418, f1 0.54663, p 0.55765, r 0.53604
Iter 10800, task semcor, loss 1.2370651883861787, acc 0.76492, f1 0.54836, p 0.56102, r 0.53626
Iter 10900, task semcor, loss 1.229396455036187, acc 0.76533, f1 0.54806, p 0.55902, r 0.53752
Iter 11000, task semcor, loss 1.2214694161345994, acc 0.76637, f1 0.55091, p 0.56124, r 0.54095
Iter 11100, task semcor, loss 1.2137181431857202, acc 0.76714, f1 0.55202, p 0.56338, r 0.54111
Iter 11200, task semcor, loss 1.206099484030998, acc 0.76801, f1 0.55355, p 0.56540, r 0.54219
Iter 11300, task semcor, loss 1.1984220086664394, acc 0.76863, f1 0.55529, p 0.56948, r 0.54179
Iter 11400, task semcor, loss 1.1907426155872227, acc 0.76875, f1 0.55500, p 0.56755, r 0.54299
Iter 11500, task semcor, loss 1.1831087530523106, acc 0.76925, f1 0.55646, p 0.56674, r 0.54653
Iter 11600, task semcor, loss 1.1757314094105122, acc 0.77013, f1 0.55868, p 0.57400, r 0.54415
Iter 11700, task semcor, loss 1.1684168957281804, acc 0.77041, f1 0.55897, p 0.56936, r 0.54896
Iter 11800, task semcor, loss 1.1608907107734285, acc 0.77127, f1 0.56020, p 0.57311, r 0.54785
Iter 11900, task semcor, loss 1.1533791600547223, acc 0.77171, f1 0.56060, p 0.57158, r 0.55004
Iter 12000, task semcor, loss 1.145875614869175, acc 0.77285, f1 0.56258, p 0.57489, r 0.55079
Iter 12100, task semcor, loss 1.1387281684401613, acc 0.77284, f1 0.56261, p 0.57393, r 0.55173
Iter 12200, task semcor, loss 1.1314946877043193, acc 0.77375, f1 0.56460, p 0.57567, r 0.55394
Iter 12300, task semcor, loss 1.1243580751290727, acc 0.77459, f1 0.56588, p 0.57538, r 0.55669
Iter 12400, task semcor, loss 1.117012551852635, acc 0.77510, f1 0.56680, p 0.57831, r 0.55574
Iter 12500, task semcor, loss 1.11004333380093, acc 0.77572, f1 0.56778, p 0.58042, r 0.55567
Iter 12600, task semcor, loss 1.1027936182653928, acc 0.77609, f1 0.56888, p 0.57835, r 0.55971
Iter 12700, task semcor, loss 1.0957550990161935, acc 0.77654, f1 0.57000, p 0.58053, r 0.55985
Iter 12800, task semcor, loss 1.0887144747234525, acc 0.77752, f1 0.57142, p 0.58360, r 0.55973
Iter 12900, task semcor, loss 1.0818093900354753, acc 0.77761, f1 0.57123, p 0.58245, r 0.56044
Iter 13000, task semcor, loss 1.075003527212834, acc 0.77829, f1 0.57285, p 0.58330, r 0.56277
Iter 13100, task semcor, loss 1.0680528233757176, acc 0.77867, f1 0.57329, p 0.58070, r 0.56606
Iter 13200, task semcor, loss 1.061359322959592, acc 0.77891, f1 0.57411, p 0.58121, r 0.56719
Iter 13300, task semcor, loss 1.0544991710418006, acc 0.77948, f1 0.57488, p 0.58552, r 0.56462
Iter 13400, task semcor, loss 1.0478361963485339, acc 0.77975, f1 0.57589, p 0.58809, r 0.56419
