Iter 2090, task semcor, loss 2.2101664543151855
Iter 2100, task semcor, loss 2.2599639892578125
Iter 2110, task semcor, loss 2.228482723236084
Iter 2120, task semcor, loss 2.2231616973876953
Iter 2130, task semcor, loss 2.215930223464966
Iter 2140, task semcor, loss 2.220301866531372
Iter 2150, task semcor, loss 2.2425990104675293
Iter 2160, task semcor, loss 2.3030498027801514
Iter 2170, task semcor, loss 2.2711384296417236
Iter 2180, task semcor, loss 2.2012391090393066
Iter 2190, task semcor, loss 2.1667373180389404
Iter 2200, task semcor, loss 2.210479736328125
Iter 2210, task semcor, loss 2.210292100906372
Iter 2220, task semcor, loss 2.269900321960449
Iter 2230, task semcor, loss 2.15558123588562
Iter 2240, task semcor, loss 2.1790053844451904
Iter 2250, task semcor, loss 2.156325578689575
Iter 2260, task semcor, loss 2.1903560161590576
Iter 2270, task semcor, loss 2.184974193572998
Iter 2280, task semcor, loss 2.175821304321289
Iter 2290, task semcor, loss 2.176863670349121
Iter 2300, task semcor, loss 2.1601216793060303
Iter 2310, task semcor, loss 2.236064910888672
Iter 2320, task semcor, loss 2.208514451980591
Iter 2330, task semcor, loss 2.156090259552002
Iter 2340, task semcor, loss 2.1201117038726807
Iter 2350, task semcor, loss 2.1661782264709473
Iter 2360, task semcor, loss 2.178276777267456
Iter 2370, task semcor, loss 2.204913377761841
Iter 2380, task semcor, loss 2.2008233070373535
Iter 2390, task semcor, loss 2.1164751052856445
Iter 2400, task semcor, loss 2.1902952194213867
Iter 2410, task semcor, loss 2.147237539291382
Iter 2420, task semcor, loss 2.1395537853240967
Iter 2430, task semcor, loss 2.2029190063476562
Iter 2440, task semcor, loss 2.269733428955078
Iter 2450, task semcor, loss 2.1038525104522705
Iter 2460, task semcor, loss 2.1153738498687744
Iter 2470, task semcor, loss 2.088998794555664
Iter 2480, task semcor, loss 2.13991379737854
Iter 2490, task semcor, loss 2.1804912090301514
Iter 2500, task semcor, loss 2.1875152587890625
Iter 2510, task semcor, loss 2.1425209045410156
Iter 2520, task semcor, loss 2.0723462104797363
Iter 2530, task semcor, loss 2.1031136512756348
Iter 2540, task semcor, loss 2.133404493331909
Iter 2550, task semcor, loss 2.121879816055298
Iter 2560, task semcor, loss 2.1615405082702637
Iter 2570, task semcor, loss 2.165740489959717
Iter 2580, task semcor, loss 2.14723539352417
Iter 2590, task semcor, loss 2.09483003616333
Iter 2600, task semcor, loss 2.145796298980713
Iter 2610, task semcor, loss 2.062770128250122
Iter 2620, task semcor, loss 2.1426217555999756
Iter 2630, task semcor, loss 2.1334898471832275
Iter 2640, task semcor, loss 2.11063551902771
Iter 2650, task semcor, loss 2.1085023880004883
Iter 2660, task semcor, loss 2.0845024585723877
Iter 2670, task semcor, loss 2.1259565353393555
Iter 2680, task semcor, loss 2.145799160003662
Iter 2690, task semcor, loss 2.147345781326294
Iter 2700, task semcor, loss 2.055643320083618
Iter 2710, task semcor, loss 2.0850160121917725
Iter 2720, task semcor, loss 2.0430562496185303
Iter 2730, task semcor, loss 2.1517109870910645
Iter 2740, task semcor, loss 2.178316116333008
Iter 2750, task semcor, loss 2.103914260864258
Iter 2760, task semcor, loss 2.1053497791290283
Iter 2770, task semcor, loss 2.109123706817627
Iter 2780, task semcor, loss 2.0380032062530518
Iter 2790, task semcor, loss 2.002467393875122
Iter 2800, task semcor, loss 2.035047769546509
Iter 2810, task semcor, loss 2.0637621879577637
Iter 2820, task semcor, loss 2.148759603500366
Iter 2830, task semcor, loss 2.1358373165130615
Iter 2840, task semcor, loss 2.047353982925415
Iter 2850, task semcor, loss 2.1110692024230957
Iter 2860, task semcor, loss 2.1004796028137207
Iter 2870, task semcor, loss 2.052246570587158
Iter 2880, task semcor, loss 2.0718331336975098
Iter 2890, task semcor, loss 2.1093204021453857
Iter 2900, task semcor, loss 2.0870392322540283
Iter 2910, task semcor, loss 2.01790714263916
Iter 2920, task semcor, loss 2.0535004138946533
Iter 2930, task semcor, loss 2.051525115966797
Iter 2940, task semcor, loss 2.0585763454437256
Iter 2950, task semcor, loss 2.0698153972625732
Iter 2960, task semcor, loss 2.0671029090881348
Iter 2970, task semcor, loss 2.025738477706909
Iter 2980, task semcor, loss 2.0640244483947754
Iter 2990, task semcor, loss 2.063873529434204
Iter 3000, task semcor, loss 2.058356523513794
Iter 3010, task semcor, loss 2.091325283050537
Iter 3020, task semcor, loss 1.9764442443847656
Iter 3030, task semcor, loss 2.1031861305236816
Iter 3040, task semcor, loss 2.117523670196533
Iter 3050, task semcor, loss 2.089536666870117
Iter 3060, task semcor, loss 2.1025946140289307
Iter 3070, task semcor, loss 2.075171709060669
Iter 3080, task semcor, loss 2.0853729248046875
Iter 3090, task semcor, loss 2.015312671661377
Iter 3100, task semcor, loss 2.0786428451538086
Iter 3110, task semcor, loss 2.0122556686401367
Iter 3120, task semcor, loss 2.077279567718506
Iter 3130, task semcor, loss 1.96236252784729
Iter 3140, task semcor, loss 2.0407822132110596
Iter 3150, task semcor, loss 2.026233196258545
Iter 3160, task semcor, loss 2.024927854537964
Iter 3170, task semcor, loss 2.014596939086914
Iter 3180, task semcor, loss 1.9855172634124756
Iter 3190, task semcor, loss 2.080678939819336
Iter 3200, task semcor, loss 2.0679996013641357
Iter 3210, task semcor, loss 2.024991750717163
Iter 3220, task semcor, loss 1.9963290691375732
Iter 3230, task semcor, loss 1.9965322017669678
Iter 3240, task semcor, loss 2.032808780670166
Iter 3250, task semcor, loss 1.988223671913147
Iter 3260, task semcor, loss 2.0266425609588623
Iter 3270, task semcor, loss 1.9968039989471436
Iter 3280, task semcor, loss 1.994341492652893
Iter 3290, task semcor, loss 2.0059409141540527
Iter 3300, task semcor, loss 2.025318145751953
Iter 3310, task semcor, loss 2.038055419921875
Iter 3320, task semcor, loss 2.112273693084717
Iter 3330, task semcor, loss 2.013449192047119
Iter 3340, task semcor, loss 2.055271863937378
Iter 3350, task semcor, loss 2.026308536529541
Iter 3360, task semcor, loss 2.054103374481201
Iter 3370, task semcor, loss 2.0305280685424805
Iter 3380, task semcor, loss 2.0200815200805664
Iter 3390, task semcor, loss 2.003628969192505
Iter 3400, task semcor, loss 2.042707920074463
Iter 3410, task semcor, loss 1.9822518825531006
Iter 3420, task semcor, loss 1.991455078125
Iter 3430, task semcor, loss 1.9848235845565796
Iter 3440, task semcor, loss 2.018510103225708
Iter 3450, task semcor, loss 2.035767078399658
Iter 3460, task semcor, loss 1.959633469581604
Iter 3470, task semcor, loss 2.0100083351135254
Iter 3480, task semcor, loss 1.9575573205947876
Iter 3490, task semcor, loss 2.0530717372894287
Iter 3500, task semcor, loss 1.9453907012939453
Iter 3510, task semcor, loss 1.9369289875030518
Iter 3520, task semcor, loss 1.903847098350525
Iter 3530, task semcor, loss 2.002605438232422
Iter 3540, task semcor, loss 1.904252290725708
Iter 3550, task semcor, loss 1.9618228673934937
Iter 3560, task semcor, loss 1.9729773998260498
Iter 3570, task semcor, loss 1.9801851511001587
Iter 3580, task semcor, loss 2.034205913543701
Iter 3590, task semcor, loss 1.950818419456482
Iter 3600, task semcor, loss 1.9580539464950562
Iter 3610, task semcor, loss 1.9225819110870361
Iter 3620, task semcor, loss 2.002187728881836
Iter 3630, task semcor, loss 2.020303726196289
Iter 3640, task semcor, loss 2.0048580169677734
Iter 3650, task semcor, loss 1.9503281116485596
Iter 3660, task semcor, loss 1.9868080615997314
Iter 3670, task semcor, loss 2.009185552597046
Iter 3680, task semcor, loss 1.9299932718276978
Iter 3690, task semcor, loss 1.9470773935317993
Iter 3700, task semcor, loss 1.9354244470596313
Iter 3710, task semcor, loss 1.9607940912246704
Iter 3720, task semcor, loss 1.8725221157073975
Iter 3730, task semcor, loss 1.9168422222137451
Iter 3740, task semcor, loss 1.9500011205673218
Iter 3750, task semcor, loss 1.930371642112732
Iter 3760, task semcor, loss 1.9776318073272705
Iter 3770, task semcor, loss 1.9092918634414673
Iter 3780, task semcor, loss 1.9755475521087646
Iter 3790, task semcor, loss 2.0091395378112793
Iter 3800, task semcor, loss 1.9625661373138428
Iter 3810, task semcor, loss 1.9265267848968506
Iter 3820, task semcor, loss 1.9417394399642944
Iter 3830, task semcor, loss 1.9527623653411865
Iter 3840, task semcor, loss 1.8742256164550781
Iter 3850, task semcor, loss 1.9352810382843018
Iter 3860, task semcor, loss 1.8592197895050049
Iter 3870, task semcor, loss 1.9440433979034424
Iter 3880, task semcor, loss 1.894089698791504
Iter 3890, task semcor, loss 1.9591257572174072
Iter 3900, task semcor, loss 2.0219738483428955
Iter 3910, task semcor, loss 1.9233348369598389
Iter 3920, task semcor, loss 1.865732192993164
Iter 3930, task semcor, loss 1.9006738662719727
Iter 3940, task semcor, loss 1.8819977045059204
Iter 3950, task semcor, loss 1.8516868352890015
Iter 3960, task semcor, loss 1.9512983560562134
Iter 3970, task semcor, loss 1.926478385925293
Iter 3980, task semcor, loss 1.921128273010254
Iter 3990, task semcor, loss 1.8818079233169556
Iter 4000, task semcor, loss 1.914056420326233
Iter 4010, task semcor, loss 1.8836971521377563
Iter 4020, task semcor, loss 1.9097551107406616
Iter 4030, task semcor, loss 1.9287445545196533
Iter 4040, task semcor, loss 1.8729732036590576
Iter 4050, task semcor, loss 1.8102996349334717
Iter 4060, task semcor, loss 1.9136978387832642
Iter 4070, task semcor, loss 1.881150245666504
Iter 4080, task semcor, loss 1.9880479574203491
Iter 4090, task semcor, loss 1.8903367519378662
Iter 4100, task semcor, loss 1.900191307067871
Iter 4110, task semcor, loss 1.9329477548599243
Iter 4120, task semcor, loss 1.9275991916656494
Iter 4130, task semcor, loss 1.9071441888809204
Iter 4140, task semcor, loss 1.9015476703643799
Iter 4150, task semcor, loss 1.9138634204864502
Iter 4160, task semcor, loss 1.9218546152114868
Iter 4170, task semcor, loss 1.8778400421142578
Iter 4180, task semcor, loss 1.8823530673980713
Iter 4190, task semcor, loss 1.8614075183868408
Iter 4200, task semcor, loss 1.8143638372421265
Iter 4210, task semcor, loss 1.8746541738510132
Iter 4220, task semcor, loss 1.8591537475585938
Iter 4230, task semcor, loss 1.914883017539978
Iter 4240, task semcor, loss 1.8599917888641357
Iter 4250, task semcor, loss 1.8468191623687744
Iter 4260, task semcor, loss 1.863874077796936
Iter 4270, task semcor, loss 1.8746395111083984
Iter 4280, task semcor, loss 1.9244205951690674
Iter 4290, task semcor, loss 1.8686307668685913
Iter 4300, task semcor, loss 1.865038275718689
Iter 4310, task semcor, loss 1.894901990890503
Iter 4320, task semcor, loss 1.8960965871810913
Iter 4330, task semcor, loss 1.8934657573699951
Iter 4340, task semcor, loss 1.8818317651748657
Iter 4350, task semcor, loss 1.8628225326538086
Iter 4360, task semcor, loss 1.8533709049224854
Iter 4370, task semcor, loss 1.8217494487762451
Iter 4380, task semcor, loss 1.8735443353652954
Iter 4390, task semcor, loss 1.8443982601165771
Iter 4400, task semcor, loss 1.8238389492034912
Iter 4410, task semcor, loss 1.8890526294708252
Iter 4420, task semcor, loss 1.8544508218765259
Iter 4430, task semcor, loss 1.8664172887802124
Iter 4440, task semcor, loss 1.8921194076538086
Iter 4450, task semcor, loss 1.840509057044983
Iter 4460, task semcor, loss 1.7950763702392578
Iter 4470, task semcor, loss 1.889229416847229
Iter 4480, task semcor, loss 1.7756150960922241
Iter 4490, task semcor, loss 1.7752212285995483
Iter 4500, task semcor, loss 1.842286467552185
Iter 4510, task semcor, loss 1.8262739181518555
Iter 4520, task semcor, loss 1.8568017482757568
Iter 4530, task semcor, loss 1.8704049587249756
Iter 4540, task semcor, loss 1.881823182106018
Iter 4550, task semcor, loss 1.7694461345672607
Iter 4560, task semcor, loss 1.8218309879302979
Iter 4570, task semcor, loss 1.8036525249481201
Iter 4580, task semcor, loss 1.822605848312378
Iter 4590, task semcor, loss 1.843916893005371
Iter 4600, task semcor, loss 1.838568091392517
Iter 4610, task semcor, loss 1.768460988998413
Iter 4620, task semcor, loss 1.8720039129257202
Iter 4630, task semcor, loss 1.8816684484481812
Iter 4640, task semcor, loss 1.8638912439346313
Iter 4650, task semcor, loss 1.855404257774353
Iter 4660, task semcor, loss 1.8215560913085938
Iter 4670, task semcor, loss 1.8168251514434814
Iter 4680, task semcor, loss 1.848271131515503
Iter 4690, task semcor, loss 1.8014417886734009
Iter 4700, task semcor, loss 1.8072173595428467
Iter 4710, task semcor, loss 1.8792665004730225
Iter 4720, task semcor, loss 1.8348503112792969
Iter 4730, task semcor, loss 1.7582114934921265
Iter 4740, task semcor, loss 1.8768911361694336
Iter 4750, task semcor, loss 1.8158740997314453
Iter 4760, task semcor, loss 1.7855393886566162
Iter 4770, task semcor, loss 1.778801679611206
Iter 4780, task semcor, loss 1.7860825061798096
Iter 4790, task semcor, loss 1.8191553354263306
Iter 4800, task semcor, loss 1.8050044775009155
Iter 4810, task semcor, loss 1.796494722366333
Iter 4820, task semcor, loss 1.7898305654525757
Iter 4830, task semcor, loss 1.8804439306259155
Iter 4840, task semcor, loss 1.877337098121643
Iter 4850, task semcor, loss 1.8276655673980713
Iter 4860, task semcor, loss 1.8110599517822266
Iter 4870, task semcor, loss 1.7967770099639893
Iter 4880, task semcor, loss 1.7361971139907837
Iter 4890, task semcor, loss 1.7947542667388916
Iter 4900, task semcor, loss 1.7828667163848877
Iter 4910, task semcor, loss 1.8438348770141602
Iter 4920, task semcor, loss 1.7653077840805054
Iter 4930, task semcor, loss 1.8311660289764404
Iter 4940, task semcor, loss 1.854466438293457
Iter 4950, task semcor, loss 1.8291261196136475
Iter 4960, task semcor, loss 1.834023118019104
Iter 4970, task semcor, loss 1.808998465538025
Iter 4980, task semcor, loss 1.744529366493225
Iter 4990, task semcor, loss 1.7941505908966064
Iter 5000, task semcor, loss 1.7935130596160889
Iter 5010, task semcor, loss 1.8169609308242798
Iter 5020, task semcor, loss 1.7953386306762695
Iter 5030, task semcor, loss 1.7635005712509155
Iter 5040, task semcor, loss 1.772075891494751
Iter 5050, task semcor, loss 1.8086414337158203
Iter 5060, task semcor, loss 1.782446265220642
