Iter 10000, task mwe, loss 0.5613290925820669, acc 0.83738, f1 0.20588, p 0.56680, r 0.12579
Iter 10100, task mwe, loss 0.5547245879968007, acc 0.83799, f1 0.20634, p 0.57377, r 0.12579
Iter 10200, task mwe, loss 0.5488162517547608, acc 0.83921, f1 0.19501, p 0.61429, r 0.11590
Iter 10300, task mwe, loss 0.5416639765103658, acc 0.83723, f1 0.21206, p 0.55303, r 0.13118
Iter 10400, task mwe, loss 0.5349256078402201, acc 0.83723, f1 0.22397, p 0.54325, r 0.14106
Iter 10500, task mwe, loss 0.5291248142719269, acc 0.83845, f1 0.21507, p 0.57874, r 0.13208
Iter 10600, task mwe, loss 0.5235195736090342, acc 0.83936, f1 0.20685, p 0.60173, r 0.12489
Iter 10700, task mwe, loss 0.5173222263654073, acc 0.83936, f1 0.20597, p 0.60793, r 0.12399
Iter 10800, task mwe, loss 0.5105349640051524, acc 0.83692, f1 0.22047, p 0.54225, r 0.13836
Iter 10900, task mwe, loss 0.5045348644256592, acc 0.83707, f1 0.22898, p 0.53642, r 0.14555
Iter 11000, task mwe, loss 0.49904837807019553, acc 0.83830, f1 0.21739, p 0.56180, r 0.13477
Iter 11100, task mwe, loss 0.49346064726511635, acc 0.83814, f1 0.21852, p 0.56134, r 0.13567
Iter 11200, task mwe, loss 0.48732195496559144, acc 0.83875, f1 0.23329, p 0.55973, r 0.14735
Iter 11300, task mwe, loss 0.4818652093410492, acc 0.83845, f1 0.22890, p 0.56140, r 0.14376
Iter 11400, task mwe, loss 0.4766274074713389, acc 0.83860, f1 0.22350, p 0.56569, r 0.13926
Iter 11500, task mwe, loss 0.47139262954394023, acc 0.83936, f1 0.22448, p 0.57836, r 0.13926
Iter 11600, task mwe, loss 0.46691288153330485, acc 0.84013, f1 0.21765, p 0.59919, r 0.13297
Iter 11700, task mwe, loss 0.46059471368789673, acc 0.83814, f1 0.24302, p 0.54545, r 0.15633
Iter 11800, task mwe, loss 0.45580812692642214, acc 0.83998, f1 0.23588, p 0.57692, r 0.14825
Iter 11900, task mwe, loss 0.45183690388997394, acc 0.83936, f1 0.21898, p 0.58366, r 0.13477
Iter 12000, task mwe, loss 0.44586414893468224, acc 0.83936, f1 0.24755, p 0.55836, r 0.15903
Iter 12100, task mwe, loss 0.44164361953735354, acc 0.84028, f1 0.23840, p 0.57986, r 0.15004
Iter 12200, task mwe, loss 0.43680274883906045, acc 0.84166, f1 0.24751, p 0.59386, r 0.15633
Iter 12300, task mwe, loss 0.4318124532699585, acc 0.83967, f1 0.24842, p 0.56731, r 0.15903
Iter 12400, task mwe, loss 0.426992791891098, acc 0.83967, f1 0.25452, p 0.56308, r 0.16442
Iter 12500, task mwe, loss 0.42341485222180686, acc 0.84196, f1 0.24373, p 0.60284, r 0.15274
Iter 12600, task mwe, loss 0.41864583690961205, acc 0.83921, f1 0.25087, p 0.55901, r 0.16173
Iter 12700, task mwe, loss 0.4152021825313568, acc 0.84318, f1 0.24277, p 0.61993, r 0.15094
Iter 12800, task mwe, loss 0.4109203159809113, acc 0.84272, f1 0.24695, p 0.61429, r 0.15454
Iter 12900, task mwe, loss 0.40563079913457234, acc 0.84013, f1 0.26337, p 0.55652, r 0.17251
Iter 13000, task mwe, loss 0.40154765248298646, acc 0.83967, f1 0.27027, p 0.54496, r 0.17969
Iter 13100, task mwe, loss 0.3973426163196564, acc 0.84013, f1 0.27322, p 0.54424, r 0.18239
Iter 13200, task mwe, loss 0.3942153096199036, acc 0.84227, f1 0.25424, p 0.59406, r 0.16173
Iter 13300, task mwe, loss 0.38988085786501564, acc 0.84227, f1 0.26611, p 0.58182, r 0.17251
Iter 13400, task mwe, loss 0.38570895195007326, acc 0.84181, f1 0.29026, p 0.55303, r 0.19677
Iter 13500, task mwe, loss 0.3820018668969472, acc 0.84104, f1 0.28590, p 0.54987, r 0.19317
Iter 13600, task mwe, loss 0.3791121522585551, acc 0.84104, f1 0.26243, p 0.56716, r 0.17071
Iter 13700, task mwe, loss 0.37513360182444255, acc 0.84135, f1 0.27642, p 0.56198, r 0.18329
Iter 13800, task mwe, loss 0.37166721423467003, acc 0.84120, f1 0.27149, p 0.56374, r 0.17880
Iter 13900, task mwe, loss 0.36818055510520936, acc 0.84166, f1 0.27954, p 0.56250, r 0.18598
Iter 14000, task mwe, loss 0.3655628720919291, acc 0.84379, f1 0.26592, p 0.60127, r 0.17071
Iter 14100, task mwe, loss 0.36159467697143555, acc 0.84181, f1 0.27642, p 0.56198, r 0.18329
Iter 14200, task mwe, loss 0.3587241033713023, acc 0.84272, f1 0.26444, p 0.58642, r 0.17071
Iter 14300, task mwe, loss 0.3557923913002014, acc 0.84395, f1 0.27083, p 0.59633, r 0.17520
Iter 14400, task mwe, loss 0.35271016160647073, acc 0.84349, f1 0.26471, p 0.60000, r 0.16981
Iter 14500, task mwe, loss 0.3491180658340454, acc 0.84211, f1 0.27797, p 0.56630, r 0.18419
Iter 14600, task mwe, loss 0.34564677874247235, acc 0.84211, f1 0.29804, p 0.54676, r 0.20485
Iter 14700, task mwe, loss 0.34282793203989664, acc 0.84318, f1 0.29796, p 0.55941, r 0.20305
Iter 14800, task mwe, loss 0.3402710497379303, acc 0.84349, f1 0.29821, p 0.56818, r 0.20216
Iter 14900, task mwe, loss 0.3374229113260905, acc 0.84440, f1 0.29980, p 0.57990, r 0.20216
Iter 15000, task mwe, loss 0.3347290972868601, acc 0.84440, f1 0.29245, p 0.58491, r 0.19497
Iter 15100, task mwe, loss 0.33247656424840294, acc 0.84242, f1 0.27676, p 0.57345, r 0.18239
Iter 15200, task mwe, loss 0.3303224583466848, acc 0.84318, f1 0.27392, p 0.58529, r 0.17880
Iter 15300, task mwe, loss 0.3268637518088023, acc 0.84333, f1 0.28610, p 0.57453, r 0.19048
Iter 15400, task mwe, loss 0.32568162083625796, acc 0.84440, f1 0.26769, p 0.60828, r 0.17161
Iter 15500, task mwe, loss 0.3223396271467209, acc 0.84486, f1 0.28179, p 0.59942, r 0.18419
Iter 15600, task mwe, loss 0.31922146181265515, acc 0.84318, f1 0.28859, p 0.57029, r 0.19317
Iter 15700, task mwe, loss 0.3172699232896169, acc 0.84456, f1 0.27663, p 0.60060, r 0.17969
Iter 15800, task mwe, loss 0.31357101500034334, acc 0.84532, f1 0.30891, p 0.58209, r 0.21024
Iter 15900, task mwe, loss 0.31251007318496704, acc 0.84486, f1 0.28356, p 0.59654, r 0.18598
Iter 16000, task mwe, loss 0.3090664883454641, acc 0.84440, f1 0.31490, p 0.57075, r 0.21743
Iter 16100, task mwe, loss 0.3070703148841858, acc 0.84456, f1 0.30311, p 0.57538, r 0.20575
Iter 16200, task mwe, loss 0.30489444235960644, acc 0.84379, f1 0.30066, p 0.57179, r 0.20395
Iter 16300, task mwe, loss 0.3035134881734848, acc 0.84608, f1 0.28866, p 0.61404, r 0.18868
Iter 16400, task mwe, loss 0.30117469330628716, acc 0.84532, f1 0.29232, p 0.60056, r 0.19317
Iter 16500, task mwe, loss 0.29869344234466555, acc 0.84517, f1 0.29893, p 0.58839, r 0.20036
Iter 16600, task mwe, loss 0.29695541063944497, acc 0.84532, f1 0.29670, p 0.59459, r 0.19766
Iter 16700, task mwe, loss 0.2940509021282196, acc 0.84517, f1 0.31434, p 0.57971, r 0.21563
Iter 16800, task mwe, loss 0.2923541396856308, acc 0.84440, f1 0.30769, p 0.57353, r 0.21024
Iter 16900, task mwe, loss 0.29080957770347593, acc 0.84471, f1 0.30020, p 0.58290, r 0.20216
Iter 17000, task mwe, loss 0.2888670732577642, acc 0.84425, f1 0.29940, p 0.57692, r 0.20216
Iter 17100, task mwe, loss 0.28851474622885387, acc 0.84563, f1 0.28394, p 0.60947, r 0.18509
Iter 17200, task mwe, loss 0.2848896324634552, acc 0.84471, f1 0.31221, p 0.57177, r 0.21473
Iter 17300, task mwe, loss 0.283476659655571, acc 0.84425, f1 0.30093, p 0.58098, r 0.20305
Iter 17400, task mwe, loss 0.28156661093235014, acc 0.84547, f1 0.30739, p 0.59231, r 0.20755
Iter 17500, task mwe, loss 0.2791230430205663, acc 0.84501, f1 0.32237, p 0.57078, r 0.22462
