Iter 1920, task mwe, loss 1.3529129028320312
Iter 1930, task mwe, loss 1.295140027999878
Iter 1940, task mwe, loss 1.311673879623413
Iter 1950, task mwe, loss 1.3297975063323975
Iter 1960, task mwe, loss 1.3240456581115723
Iter 1970, task mwe, loss 1.3078162670135498
Iter 1980, task mwe, loss 1.3795541524887085
Iter 1990, task mwe, loss 1.3282172679901123
Iter 2000, task mwe, loss 1.2633113861083984
Iter 2010, task mwe, loss 1.2369410991668701
Iter 2020, task mwe, loss 1.3085458278656006
Iter 2030, task mwe, loss 1.3060113191604614
Iter 2040, task mwe, loss 1.3302457332611084
Iter 2050, task mwe, loss 1.3502562046051025
Iter 2060, task mwe, loss 1.3347318172454834
Iter 2070, task mwe, loss 1.2869250774383545
Iter 2080, task mwe, loss 1.2389122247695923
Iter 2090, task mwe, loss 1.2520318031311035
Iter 2100, task mwe, loss 1.2637574672698975
Iter 2110, task mwe, loss 1.2725918292999268
Iter 2120, task mwe, loss 1.2711890935897827
Iter 2130, task mwe, loss 1.2929600477218628
Iter 2140, task mwe, loss 1.2701013088226318
Iter 2150, task mwe, loss 1.2600504159927368
Iter 2160, task mwe, loss 1.3067437410354614
Iter 2170, task mwe, loss 1.3124077320098877
Iter 2180, task mwe, loss 1.249945878982544
Iter 2190, task mwe, loss 1.3240370750427246
Iter 2200, task mwe, loss 1.2763772010803223
Iter 2210, task mwe, loss 1.2883362770080566
Iter 2220, task mwe, loss 1.2895357608795166
Iter 2230, task mwe, loss 1.2984774112701416
Iter 2240, task mwe, loss 1.3166176080703735
Iter 2250, task mwe, loss 1.2887051105499268
Iter 2260, task mwe, loss 1.238274097442627
Iter 2270, task mwe, loss 1.2582364082336426
Iter 2280, task mwe, loss 1.224774956703186
Iter 2290, task mwe, loss 1.2701857089996338
Iter 2300, task mwe, loss 1.2828128337860107
Iter 2310, task mwe, loss 1.238796353340149
Iter 2320, task mwe, loss 1.2733004093170166
Iter 2330, task mwe, loss 1.289584755897522
Iter 2340, task mwe, loss 1.283611536026001
Iter 2350, task mwe, loss 1.242279291152954
Iter 2360, task mwe, loss 1.2879087924957275
Iter 2370, task mwe, loss 1.2588831186294556
Iter 2380, task mwe, loss 1.2352148294448853
Iter 2390, task mwe, loss 1.303612470626831
Iter 2400, task mwe, loss 1.2742302417755127
Iter 2410, task mwe, loss 1.2698228359222412
Iter 2420, task mwe, loss 1.2393035888671875
Iter 2430, task mwe, loss 1.2418626546859741
Iter 2440, task mwe, loss 1.2744548320770264
Iter 2450, task mwe, loss 1.2700903415679932
Iter 2460, task mwe, loss 1.2390739917755127
Iter 2470, task mwe, loss 1.2894790172576904
Iter 2480, task mwe, loss 1.250186800956726
Iter 2490, task mwe, loss 1.2777683734893799
Iter 2500, task mwe, loss 1.228539228439331
Iter 2510, task mwe, loss 1.2918336391448975
Iter 2520, task mwe, loss 1.2369787693023682
Iter 2530, task mwe, loss 1.2801973819732666
Iter 2540, task mwe, loss 1.2401756048202515
Iter 2550, task mwe, loss 1.3245936632156372
Iter 2560, task mwe, loss 1.2920949459075928
Iter 2570, task mwe, loss 1.304166555404663
Iter 2580, task mwe, loss 1.2957769632339478
Iter 2590, task mwe, loss 1.2639057636260986
Iter 2600, task mwe, loss 1.2514698505401611
Iter 2610, task mwe, loss 1.2387759685516357
Iter 2620, task mwe, loss 1.2227810621261597
Iter 2630, task mwe, loss 1.2430967092514038
Iter 2640, task mwe, loss 1.2285059690475464
Iter 2650, task mwe, loss 1.2627999782562256
Iter 2660, task mwe, loss 1.248167634010315
Iter 2670, task mwe, loss 1.2187438011169434
Iter 2680, task mwe, loss 1.253856897354126
Iter 2690, task mwe, loss 1.2267405986785889
Iter 2700, task mwe, loss 1.2725392580032349
Iter 2710, task mwe, loss 1.2848682403564453
Iter 2720, task mwe, loss 1.2411353588104248
Iter 2730, task mwe, loss 1.2364205121994019
Iter 2740, task mwe, loss 1.2152526378631592
Iter 2750, task mwe, loss 1.2529137134552002
Iter 2760, task mwe, loss 1.2470296621322632
Iter 2770, task mwe, loss 1.2604727745056152
Iter 2780, task mwe, loss 1.2264155149459839
Iter 2790, task mwe, loss 1.1939986944198608
Iter 2800, task mwe, loss 1.2945895195007324
Iter 2810, task mwe, loss 1.1988701820373535
Iter 2820, task mwe, loss 1.227729082107544
Iter 2830, task mwe, loss 1.22209894657135
Iter 2840, task mwe, loss 1.2114448547363281
Iter 2850, task mwe, loss 1.2624948024749756
Iter 2860, task mwe, loss 1.2677408456802368
Iter 2870, task mwe, loss 1.2495496273040771
Iter 2880, task mwe, loss 1.190388798713684
Iter 2890, task mwe, loss 1.1898510456085205
Iter 2900, task mwe, loss 1.2773358821868896
Iter 2910, task mwe, loss 1.1443439722061157
Iter 2920, task mwe, loss 1.164977788925171
Iter 2930, task mwe, loss 1.214709997177124
Iter 2940, task mwe, loss 1.1994200944900513
Iter 2950, task mwe, loss 1.2509005069732666
Iter 2960, task mwe, loss 1.2256410121917725
Iter 2970, task mwe, loss 1.2104036808013916
Iter 2980, task mwe, loss 1.1945431232452393
Iter 2990, task mwe, loss 1.237218976020813
Iter 3000, task mwe, loss 1.188772201538086
Iter 3010, task mwe, loss 1.200595498085022
Iter 3020, task mwe, loss 1.2228264808654785
Iter 3030, task mwe, loss 1.2233175039291382
Iter 3040, task mwe, loss 1.1743682622909546
Iter 3050, task mwe, loss 1.25003182888031
Iter 3060, task mwe, loss 1.1950008869171143
Iter 3070, task mwe, loss 1.1542237997055054
Iter 3080, task mwe, loss 1.1670646667480469
Iter 3090, task mwe, loss 1.1595418453216553
Iter 3100, task mwe, loss 1.216086745262146
Iter 3110, task mwe, loss 1.1864910125732422
Iter 3120, task mwe, loss 1.1780526638031006
Iter 3130, task mwe, loss 1.193765640258789
Iter 3140, task mwe, loss 1.2052860260009766
Iter 3150, task mwe, loss 1.1516714096069336
Iter 3160, task mwe, loss 1.2260559797286987
Iter 3170, task mwe, loss 1.180861234664917
Iter 3180, task mwe, loss 1.176214575767517
Iter 3190, task mwe, loss 1.189074158668518
Iter 3200, task mwe, loss 1.2197434902191162
Iter 3210, task mwe, loss 1.1973693370819092
Iter 3220, task mwe, loss 1.2214223146438599
Iter 3230, task mwe, loss 1.180091142654419
Iter 3240, task mwe, loss 1.205531358718872
Iter 3250, task mwe, loss 1.2195837497711182
Iter 3260, task mwe, loss 1.1773616075515747
Iter 3270, task mwe, loss 1.1415289640426636
Iter 3280, task mwe, loss 1.1830737590789795
Iter 3290, task mwe, loss 1.1698373556137085
Iter 3300, task mwe, loss 1.1577012538909912
Iter 3310, task mwe, loss 1.1885323524475098
Iter 3320, task mwe, loss 1.1139378547668457
Iter 3330, task mwe, loss 1.1604896783828735
Iter 3340, task mwe, loss 1.2008559703826904
Iter 3350, task mwe, loss 1.2095386981964111
Iter 3360, task mwe, loss 1.1755222082138062
Iter 3370, task mwe, loss 1.1799944639205933
Iter 3380, task mwe, loss 1.1618273258209229
Iter 3390, task mwe, loss 1.1655528545379639
Iter 3400, task mwe, loss 1.2098414897918701
Iter 3410, task mwe, loss 1.1556305885314941
Iter 3420, task mwe, loss 1.1698850393295288
Iter 3430, task mwe, loss 1.154963731765747
Iter 3440, task mwe, loss 1.1419297456741333
Iter 3450, task mwe, loss 1.1725047826766968
Iter 3460, task mwe, loss 1.167880654335022
Iter 3470, task mwe, loss 1.1967965364456177
Iter 3480, task mwe, loss 1.1836936473846436
Iter 3490, task mwe, loss 1.1320403814315796
Iter 3500, task mwe, loss 1.1566828489303589
Iter 3510, task mwe, loss 1.1762913465499878
Iter 3520, task mwe, loss 1.1788444519042969
Iter 3530, task mwe, loss 1.131249189376831
Iter 3540, task mwe, loss 1.1580657958984375
Iter 3550, task mwe, loss 1.1237900257110596
Iter 3560, task mwe, loss 1.1566855907440186
Iter 3570, task mwe, loss 1.1745049953460693
Iter 3580, task mwe, loss 1.1058307886123657
Iter 3590, task mwe, loss 1.1406282186508179
Iter 3600, task mwe, loss 1.1513727903366089
Iter 3610, task mwe, loss 1.1339977979660034
Iter 3620, task mwe, loss 1.186112642288208
Iter 3630, task mwe, loss 1.1369704008102417
Iter 3640, task mwe, loss 1.1536247730255127
Iter 3650, task mwe, loss 1.127056360244751
Iter 3660, task mwe, loss 1.1011836528778076
Iter 3670, task mwe, loss 1.1596006155014038
Iter 3680, task mwe, loss 1.1601508855819702
Iter 3690, task mwe, loss 1.1440331935882568
