Iter 5200, task mwe, loss 0.8385949452718099, acc 0.82623, f1 0.01600, p 0.75000, r 0.00809
Iter 5300, task fnt, loss 0.851212497680418, acc 0.77616, f1 0.29219, p 0.59306, r 0.19385
Iter 5300, task mwe, loss 0.8347074747085571, acc 0.82623, f1 0.01071, p 0.85714, r 0.00539
Iter 5400, task fnt, loss 0.8448382808316138, acc 0.77729, f1 0.31387, p 0.58919, r 0.21391
Iter 5400, task mwe, loss 0.8312600771586101, acc 0.82623, f1 0.01248, p 0.77778, r 0.00629
Iter 5500, task fnt, loss 0.8428703527296743, acc 0.77698, f1 0.31247, p 0.58760, r 0.21282
Iter 5500, task mwe, loss 0.8262128710746766, acc 0.82623, f1 0.01248, p 0.77778, r 0.00629
Iter 5600, task fnt, loss 0.8364740917759557, acc 0.77945, f1 0.35357, p 0.58480, r 0.25338
Iter 5600, task mwe, loss 0.82182271083196, acc 0.82639, f1 0.01423, p 0.72727, r 0.00719
Iter 5700, task fnt, loss 0.8347661668254484, acc 0.77796, f1 0.33484, p 0.58311, r 0.23485
Iter 5700, task mwe, loss 0.8186052918434144, acc 0.82654, f1 0.01600, p 0.75000, r 0.00809
Iter 5800, task fnt, loss 0.8301168084144592, acc 0.77997, f1 0.36287, p 0.58301, r 0.26341
Iter 5800, task mwe, loss 0.8138290246327718, acc 0.82684, f1 0.01950, p 0.73333, r 0.00988
Iter 5900, task fnt, loss 0.8292638409522272, acc 0.77822, f1 0.33520, p 0.58397, r 0.23506
Iter 5900, task mwe, loss 0.8113596598307292, acc 0.82654, f1 0.01071, p 0.85714, r 0.00539
Iter 6000, task fnt, loss 0.8254003890099064, acc 0.77909, f1 0.34848, p 0.58380, r 0.24836
Iter 6000, task mwe, loss 0.8062507708867391, acc 0.82669, f1 0.01600, p 0.75000, r 0.00809
Iter 6100, task fnt, loss 0.8222013577338187, acc 0.77945, f1 0.35124, p 0.58486, r 0.25098
Iter 6100, task mwe, loss 0.8009778579076131, acc 0.82654, f1 0.01943, p 0.57895, r 0.00988
Iter 6200, task fnt, loss 0.819181659529286, acc 0.77997, f1 0.35098, p 0.58821, r 0.25011
Iter 6200, task mwe, loss 0.7976581811904907, acc 0.82700, f1 0.01950, p 0.73333, r 0.00988
Iter 6300, task fnt, loss 0.8175593364623285, acc 0.77884, f1 0.33406, p 0.58791, r 0.23332
Iter 6300, task mwe, loss 0.7936951398849488, acc 0.82684, f1 0.01949, p 0.68750, r 0.00988
Iter 6400, task fnt, loss 0.8157231999981788, acc 0.77997, f1 0.32965, p 0.59725, r 0.22765
Iter 6400, task mwe, loss 0.7900386889775594, acc 0.82715, f1 0.01950, p 0.73333, r 0.00988
Iter 6500, task fnt, loss 0.8099369502836659, acc 0.78054, f1 0.35511, p 0.58859, r 0.25425
Iter 6500, task mwe, loss 0.7862812399864196, acc 0.82700, f1 0.01949, p 0.68750, r 0.00988
Iter 6600, task fnt, loss 0.8058826750324618, acc 0.78084, f1 0.36777, p 0.58488, r 0.26821
Iter 6600, task mwe, loss 0.7833800832430522, acc 0.82745, f1 0.01950, p 0.73333, r 0.00988
Iter 6700, task fnt, loss 0.8024435389426446, acc 0.78126, f1 0.37079, p 0.58569, r 0.27126
Iter 6700, task mwe, loss 0.7787470539410909, acc 0.82730, f1 0.01949, p 0.68750, r 0.00988
