Iter 11100, task hyperlinks, loss 0.4855141540368398, acc 0.84362, f1 0.42567, p 0.58874, r 0.33333
Iter 11200, task hyperlinks, loss 0.49355219801266986, acc 0.84615, f1 0.41801, p 0.60748, r 0.31863
Iter 11300, task hyperlinks, loss 0.4889276425043742, acc 0.84277, f1 0.40960, p 0.58986, r 0.31373
Iter 11400, task hyperlinks, loss 0.495919406414032, acc 0.85080, f1 0.42053, p 0.64796, r 0.31127
Iter 11500, task hyperlinks, loss 0.49400821328163147, acc 0.84954, f1 0.41967, p 0.63366, r 0.31373
Iter 11600, task hyperlinks, loss 0.49097063144048053, acc 0.84742, f1 0.41935, p 0.61321, r 0.31863
Iter 11700, task hyperlinks, loss 0.5006155073642731, acc 0.85080, f1 0.41597, p 0.64767, r 0.30637
Iter 11800, task hyperlinks, loss 0.48658716678619385, acc 0.84108, f1 0.42638, p 0.56967, r 0.34069
Iter 11900, task hyperlinks, loss 0.49163787563641864, acc 0.84658, f1 0.42308, p 0.61111, r 0.32353
Iter 12000, task hyperlinks, loss 0.48650336265563965, acc 0.83855, f1 0.42314, p 0.55823, r 0.34069
Iter 12100, task hyperlinks, loss 0.4979472855726878, acc 0.84658, f1 0.40722, p 0.61692, r 0.30392
Iter 12200, task hyperlinks, loss 0.48513029019037884, acc 0.83939, f1 0.42266, p 0.56327, r 0.33824
Iter 12300, task hyperlinks, loss 0.4933713972568512, acc 0.83981, f1 0.41369, p 0.56596, r 0.32598
Iter 12400, task hyperlinks, loss 0.4912470281124115, acc 0.83897, f1 0.41058, p 0.56170, r 0.32353
Iter 12500, task hyperlinks, loss 0.4947516918182373, acc 0.84404, f1 0.41653, p 0.59276, r 0.32108
Iter 12600, task hyperlinks, loss 0.4905068874359131, acc 0.84277, f1 0.41824, p 0.58333, r 0.32598
Iter 12700, task hyperlinks, loss 0.49098334709803265, acc 0.83981, f1 0.42618, p 0.56225, r 0.34314
Iter 12800, task hyperlinks, loss 0.493089238802592, acc 0.84320, f1 0.40960, p 0.58986, r 0.31373
Iter 12900, task hyperlinks, loss 0.48993677894274396, acc 0.83728, f1 0.42296, p 0.55118, r 0.34314
Iter 13000, task hyperlinks, loss 0.49075010418891907, acc 0.84066, f1 0.41745, p 0.57265, r 0.32843
Iter 13100, task hyperlinks, loss 0.4924441973368327, acc 0.83981, f1 0.42508, p 0.56504, r 0.34069
Iter 13200, task hyperlinks, loss 0.496287335952123, acc 0.83897, f1 0.40566, p 0.56579, r 0.31618
Iter 13300, task hyperlinks, loss 0.4926278392473857, acc 0.83094, f1 0.42713, p 0.51930, r 0.36275
Iter 13400, task hyperlinks, loss 0.49061057964960736, acc 0.83855, f1 0.43008, p 0.55642, r 0.35049
Iter 13500, task hyperlinks, loss 0.5009267727533976, acc 0.84320, f1 0.41706, p 0.58667, r 0.32353
Iter 13600, task hyperlinks, loss 0.4999512732028961, acc 0.84024, f1 0.41680, p 0.57021, r 0.32843
Iter 13700, task hyperlinks, loss 0.4952139953772227, acc 0.83728, f1 0.41705, p 0.55020, r 0.33578
Iter 13800, task hyperlinks, loss 0.4973756968975067, acc 0.83812, f1 0.43114, p 0.55385, r 0.35294
Iter 13900, task hyperlinks, loss 0.49795882900555927, acc 0.84066, f1 0.42462, p 0.57025, r 0.33824
Iter 14000, task hyperlinks, loss 0.49603575468063354, acc 0.83897, f1 0.43852, p 0.55431, r 0.36275
Iter 14100, task hyperlinks, loss 0.5048592686653137, acc 0.84277, f1 0.42302, p 0.57872, r 0.33333
Iter 14200, task hyperlinks, loss 0.4975038866202037, acc 0.83939, f1 0.41846, p 0.56198, r 0.33333
Iter 14300, task hyperlinks, loss 0.5032859245936075, acc 0.84150, f1 0.41260, p 0.57709, r 0.32108
Iter 14400, task hyperlinks, loss 0.5047623515129089, acc 0.83939, f1 0.40938, p 0.56466, r 0.32108
Iter 14500, task hyperlinks, loss 0.5088727076848348, acc 0.84108, f1 0.40823, p 0.57589, r 0.31618
Iter 14600, task hyperlinks, loss 0.510006437699, acc 0.84235, f1 0.40193, p 0.58411, r 0.30637
Iter 14700, task hyperlinks, loss 0.5023413697878519, acc 0.83390, f1 0.42245, p 0.53160, r 0.35049
Iter 14800, task hyperlinks, loss 0.4964414636294047, acc 0.84024, f1 0.43439, p 0.56471, r 0.35294
Iter 14900, task hyperlinks, loss 0.49726830919583637, acc 0.83559, f1 0.43567, p 0.53986, r 0.36520
Iter 15000, task hyperlinks, loss 0.5060780644416809, acc 0.83812, f1 0.42360, p 0.55336, r 0.34314
Iter 15100, task hyperlinks, loss 0.5017232795556387, acc 0.83516, f1 0.42433, p 0.53759, r 0.35049
Iter 15200, task hyperlinks, loss 0.5083721776803335, acc 0.83686, f1 0.42342, p 0.54651, r 0.34559
Iter 15300, task hyperlinks, loss 0.5103721419970194, acc 0.84193, f1 0.42415, p 0.57563, r 0.33578
Iter 15400, task hyperlinks, loss 0.5006126761436462, acc 0.83347, f1 0.44000, p 0.52740, r 0.37745
Iter 15500, task hyperlinks, loss 0.5038854678471884, acc 0.83981, f1 0.42618, p 0.56225, r 0.34314
Iter 15600, task hyperlinks, loss 0.5063665707906088, acc 0.83221, f1 0.43228, p 0.52448, r 0.36765
Iter 15700, task hyperlinks, loss 0.5126509368419647, acc 0.84362, f1 0.42613, p 0.58298, r 0.33578
Iter 15800, task hyperlinks, loss 0.5092721879482269, acc 0.83432, f1 0.43149, p 0.53237, r 0.36275
Iter 15900, task hyperlinks, loss 0.5153764088948568, acc 0.84024, f1 0.41186, p 0.56652, r 0.32353
Iter 16000, task hyperlinks, loss 0.5108446280161539, acc 0.83305, f1 0.44097, p 0.52542, r 0.37990
Iter 16100, task hyperlinks, loss 0.5140671829382578, acc 0.83052, f1 0.42590, p 0.51568, r 0.36275
Iter 16200, task hyperlinks, loss 0.5244027078151703, acc 0.84066, f1 0.41860, p 0.56962, r 0.33088
Iter 16300, task hyperlinks, loss 0.5176955958207449, acc 0.83094, f1 0.42547, p 0.51943, r 0.36029
Iter 16400, task hyperlinks, loss 0.51909871896108, acc 0.83643, f1 0.43363, p 0.54444, r 0.36029
Iter 16500, task hyperlinks, loss 0.5173839628696442, acc 0.83474, f1 0.43705, p 0.53357, r 0.37010
Iter 16600, task hyperlinks, loss 0.518130232890447, acc 0.83094, f1 0.43466, p 0.51689, r 0.37500
Iter 16700, task hyperlinks, loss 0.5196683903535207, acc 0.83347, f1 0.43023, p 0.52857, r 0.36275
Iter 16800, task hyperlinks, loss 0.5203257401784261, acc 0.83178, f1 0.43103, p 0.52083, r 0.36765
Iter 16900, task hyperlinks, loss 0.5289253095785776, acc 0.83770, f1 0.42643, p 0.55039, r 0.34804
Iter 17000, task hyperlinks, loss 0.5212034086386362, acc 0.83263, f1 0.42899, p 0.52482, r 0.36275
Iter 17100, task hyperlinks, loss 0.5271526177724203, acc 0.83347, f1 0.43251, p 0.53025, r 0.36520
Iter 17200, task hyperlinks, loss 0.5236396491527557, acc 0.81784, f1 0.43179, p 0.46974, r 0.39951
Iter 17300, task hyperlinks, loss 0.5301106174786886, acc 0.83052, f1 0.43626, p 0.51678, r 0.37745
Iter 17400, task hyperlinks, loss 0.5299394130706787, acc 0.83263, f1 0.42795, p 0.52688, r 0.36029
Iter 17500, task hyperlinks, loss 0.5280716419219971, acc 0.83178, f1 0.43429, p 0.52055, r 0.37255
Iter 17600, task hyperlinks, loss 0.5324903925259908, acc 0.83347, f1 0.43579, p 0.52982, r 0.37010
Iter 17700, task hyperlinks, loss 0.5346728165944418, acc 0.83094, f1 0.42044, p 0.51986, r 0.35294
Iter 17800, task hyperlinks, loss 0.5333115955193838, acc 0.82713, f1 0.43296, p 0.50325, r 0.37990
Iter 17900, task hyperlinks, loss 0.5360198318958282, acc 0.82925, f1 0.42898, p 0.51014, r 0.37010
Iter 18000, task hyperlinks, loss 0.5394428869088491, acc 0.83263, f1 0.43714, p 0.52397, r 0.37500
Iter 18100, task hyperlinks, loss 0.5395549734433492, acc 0.82375, f1 0.42600, p 0.48889, r 0.37745
Iter 18200, task hyperlinks, loss 0.5452718933423361, acc 0.83052, f1 0.43243, p 0.51525, r 0.37255
Iter 18300, task hyperlinks, loss 0.5426875253518423, acc 0.82925, f1 0.43380, p 0.50993, r 0.37745
